Year,Month,Day,Hour,Minute,DNI,Cloud Type,Relative Humidity,Temperature,Pressure
2019,1,1,0,30,0,0,83.05,23.8,1013
2019,1,1,1,30,0,0,86.67,23.4,1013
2019,1,1,2,30,0,0,90.12,23,1013
2019,1,1,3,30,0,0,93.67,22.6,1013
2019,1,1,4,30,0,0,95.91,22.3,1013
2019,1,1,5,30,0,0,97.86,22,1014
2019,1,1,6,30,17,0,96.08,22.3,1015
2019,1,1,7,30,545,0,87.48,23.9,1015
2019,1,1,8,30,701,0,75.2,26.4,1015
2019,1,1,9,30,423,2,62.83,28.7,1015
2019,1,1,10,30,78,3,55.55,30.3,1014
2019,1,1,11,30,69,3,50.19,31.4,1013
2019,1,1,12,30,168,3,45.93,32.2,1011
2019,1,1,13,30,658,0,43.04,32.6,1011
2019,1,1,14,30,642,0,41.45,32.5,1010
2019,1,1,15,30,238,3,41.28,31.9,1011
2019,1,1,16,30,207,3,43.68,30.5,1011
2019,1,1,17,30,41,0,47.03,29.6,1011
2019,1,1,18,30,0,0,54.39,27.5,1013
2019,1,1,19,30,0,0,57.98,26.5,1013
2019,1,1,20,30,0,0,60.66,25.7,1014
2019,1,1,21,30,0,0,62.45,25.1,1014
2019,1,1,22,30,0,0,64.47,24.5,1014
2019,1,1,23,30,0,0,67.42,23.9,1015
2019,1,2,0,30,0,0,71.01,23.3,1015
2019,1,2,1,30,0,0,74.01,22.9,1014
2019,1,2,2,30,0,0,76.91,22.6,1014
2019,1,2,3,30,0,0,80.1,22.3,1014
2019,1,2,4,30,0,0,83.8,21.9,1014
2019,1,2,5,30,0,0,87.32,21.5,1014
2019,1,2,6,30,26,0,87.05,21.8,1015
2019,1,2,7,30,598,0,79.94,23.5,1016
2019,1,2,8,30,813,0,69.12,26.1,1017
2019,1,2,9,30,900,0,57.12,28.4,1016
2019,1,2,10,30,945,0,49.27,29.8,1016
2019,1,2,11,30,959,0,44.34,30.9,1014
2019,1,2,12,30,953,0,41.14,31.7,1012
2019,1,2,13,30,931,0,39.47,32.1,1011
2019,1,2,14,30,878,0,39.1,32.1,1011
2019,1,2,15,30,777,0,40.43,31.5,1011
2019,1,2,16,30,570,0,43.6,30.3,1011
2019,1,2,17,30,46,0,46.9,29.5,1011
2019,1,2,18,30,0,0,53.45,27.7,1012
2019,1,2,19,30,0,0,57.93,26.7,1013
2019,1,2,20,30,0,0,60.83,26.1,1013
2019,1,2,21,30,0,0,63.33,25.6,1013
2019,1,2,22,30,0,0,67.39,24.9,1013
2019,1,2,23,30,0,0,72.19,24.3,1013
2019,1,3,0,30,0,0,77.85,23.6,1012
2019,1,3,1,30,0,0,82.61,23.1,1012
2019,1,3,2,30,0,7,87.15,22.6,1013
2019,1,3,3,30,0,3,90.67,22.2,1013
2019,1,3,4,30,0,0,93.24,21.9,1013
2019,1,3,5,30,0,0,95.53,21.6,1013
2019,1,3,6,30,17,0,93.56,22,1014
2019,1,3,7,30,540,0,84.35,23.8,1014
2019,1,3,8,30,763,0,73.45,26.4,1014
2019,1,3,9,30,535,0,63.96,28.6,1014
