Year,Month,Day,Hour,Minute,DNI,Cloud Type,Relative Humidity,Temperature
2004,1,3,18,0,0,0,39.54,8
2004,1,3,18,30,0,0,42.36,7
2004,1,3,19,0,0,0,41.81,7
2004,1,3,19,30,0,0,44.82,6
2004,1,3,20,0,0,0,44.73,6
2004,1,3,20,30,0,0,44.74,6
2004,1,3,21,0,0,4,44.47,6
2004,1,3,21,30,0,7,47.69,5
2004,1,3,22,0,0,7,46.36,5
2004,1,3,22,30,0,7,46.36,5
2004,1,3,23,0,0,8,45.08,5
2004,1,3,23,30,0,7,45.08,5
2004,1,4,0,0,0,7,41.47,5
2004,1,4,0,30,0,7,44.47,5
2004,1,4,1,0,0,7,43.72,5
2004,1,4,1,30,0,7,43.72,5
2004,1,4,2,0,0,7,43.43,5
2004,1,4,2,30,0,7,43.43,5
2004,1,4,3,0,0,7,43.22,5
2004,1,4,3,30,0,4,43.23,5
2004,1,4,4,0,0,4,43.36,5
2004,1,4,4,30,0,7,43.36,5
2004,1,4,5,0,0,7,43.55,5
2004,1,4,5,30,0,7,43.56,4
2004,1,4,6,0,0,7,43.78,4
2004,1,4,6,30,0,7,43.79,4
2004,1,4,7,0,0,7,42.51,5
2004,1,4,7,30,39,7,39.68,6
2004,1,4,8,0,68,4,32.82,8
2004,1,4,8,30,315,7,30.67,9
2004,1,4,9,0,444,7,22.73,11
2004,1,4,9,30,364,7,21.26,12
2004,1,4,10,0,471,8,17.14,13
2004,1,4,10,30,697,8,17.14,13
2004,1,4,11,0,970,1,14.83,14
2004,1,4,11,30,978,0,14.82,14
2004,1,4,12,0,692,8,13.19,15
2004,1,4,12,30,973,0,13.18,15
2004,1,4,13,0,971,0,12.58,15
2004,1,4,13,30,953,0,12.58,15
2004,1,4,14,0,925,0,12.14,15
2004,1,4,14,30,885,0,12.95,14
2004,1,4,15,0,827,0,16.23,13
2004,1,4,15,30,739,0,19.78,11
2004,1,4,16,0,593,0,28.79,9
2004,1,4,16,30,319,0,30.82,8
2004,1,4,17,0,0,0,26.19,8
2004,1,4,17,30,0,0,26.2,7
2004,1,4,18,0,0,0,24.35,7
2004,1,4,18,30,0,0,26.09,7
2004,1,4,19,0,0,0,25.83,7
2004,1,4,19,30,0,0,27.68,6
2004,1,4,20,0,0,0,28.49,6
2004,1,4,20,30,0,0,30.56,5
2004,1,4,21,0,0,0,30.89,5
2004,1,4,21,30,0,0,30.89,4
2004,1,4,22,0,0,0,31.4,4
2004,1,4,22,30,0,0,33.69,4
2004,1,4,23,0,0,0,34.88,4
2004,1,4,23,30,0,0,37.45,3
2004,1,5,0,0,0,0,39,3
2004,1,5,0,30,0,0,39.01,3
2004,1,5,1,0,0,0,41.48,3
2004,1,5,1,30,0,0,41.47,3
2004,1,5,2,0,0,0,40.1,3
2004,1,5,2,30,0,0,40.1,3
2004,1,5,3,0,0,0,41.12,4
2004,1,5,3,30,0,0,41.12,4
2004,1,5,4,0,0,0,41.63,4
2004,1,5,4,30,0,0,41.64,3
2004,1,5,5,0,0,0,41.24,3
2004,1,5,5,30,0,0,44.3,3
2004,1,5,6,0,0,1,42.84,3
2004,1,5,6,30,0,0,39.92,3
2004,1,5,7,0,0,7,37.71,4
2004,1,5,7,30,229,7,35.17,6
2004,1,5,8,0,321,4,28.01,8
2004,1,5,8,30,567,8,26.17,9
2004,1,5,9,0,687,7,21.43,10
2004,1,5,9,30,514,8,20.03,11
2004,1,5,10,0,488,7,15.97,13
2004,1,5,10,30,718,8,14.96,14
2004,1,5,11,0,928,1,12.11,15
2004,1,5,11,30,936,0,12.11,15
2004,1,5,12,0,930,0,10.38,16
2004,1,5,12,30,925,0,10.38,16
2004,1,5,13,0,510,8,9.4,17
2004,1,5,13,30,876,0,9.39,16
2004,1,5,14,0,832,1,9.41,16
2004,1,5,14,30,787,0,10.03,15
2004,1,5,15,0,707,0,14.78,15
2004,1,5,15,30,606,0,16.83,12
2004,1,5,16,0,449,0,24.33,10
2004,1,5,16,30,171,0,26.02,9
2004,1,5,17,0,0,0,25.53,9
2004,1,5,17,30,0,0,27.33,8
2004,1,5,18,0,0,0,26.67,8
2004,1,5,18,30,0,0,28.57,7
2004,1,5,19,0,0,0,28.11,7
2004,1,5,19,30,0,0,28.11,6
2004,1,5,20,0,0,0,27.86,6
2004,1,5,20,30,0,0,29.85,6
2004,1,5,21,0,0,0,29.68,6
2004,1,5,21,30,0,0,29.68,5
2004,1,5,22,0,0,0,29.72,5
2004,1,5,22,30,0,0,31.86,5
2004,1,5,23,0,0,0,32.1,5
2004,1,5,23,30,0,0,32.1,4
2004,1,6,0,0,0,0,32.5,4
2004,1,6,0,30,0,0,34.86,4
2004,1,6,1,0,0,0,35.15,4
2004,1,6,1,30,0,0,35.14,4
2004,1,6,2,0,0,0,35.6,4
2004,1,6,2,30,0,0,35.59,3
2004,1,6,3,0,0,0,36.31,3
2004,1,6,3,30,0,0,38.99,3
2004,1,6,4,0,0,0,39.79,3
2004,1,6,4,30,0,4,39.8,3
2004,1,6,5,0,0,7,40.36,3
2004,1,6,5,30,0,7,40.36,3
2004,1,6,6,0,0,7,40.84,3
2004,1,6,6,30,0,7,38.04,4
2004,1,6,7,0,0,8,40.07,5
2004,1,6,7,30,489,0,34.88,6
2004,1,6,8,0,656,0,29.43,8
2004,1,6,8,30,756,0,27.51,9
2004,1,6,9,0,816,0,23.17,11
2004,1,6,9,30,861,0,21.66,12
2004,1,6,10,0,913,0,19.27,13
2004,1,6,10,30,933,2,19.25,13
2004,1,6,11,0,549,4,17.13,14
2004,1,6,11,30,553,4,16.05,14
2004,1,6,12,0,671,8,14.54,15
2004,1,6,12,30,945,0,14.53,16
2004,1,6,13,0,933,8,13.08,17
2004,1,6,13,30,613,7,13.08,17
2004,1,6,14,0,486,8,12.77,17
2004,1,6,14,30,600,8,14.5,16
2004,1,6,15,0,320,8,22.6,15
2004,1,6,15,30,102,8,25.74,13
2004,1,6,16,0,255,7,27.18,11
2004,1,6,16,30,95,6,29.05,11
2004,1,6,17,0,0,7,28.12,11
2004,1,6,17,30,0,7,28.13,11
2004,1,6,18,0,0,7,28.03,11
2004,1,6,18,30,0,7,28.04,10
2004,1,6,19,0,0,6,27.27,10
2004,1,6,19,30,0,7,29.16,9
2004,1,6,20,0,0,7,28.73,9
2004,1,6,20,30,0,7,30.74,9
2004,1,6,21,0,0,7,31.95,9
2004,1,6,21,30,0,6,31.95,8
2004,1,6,22,0,0,7,34.91,8
2004,1,6,22,30,0,8,34.91,8
2004,1,6,23,0,0,8,38.71,8
2004,1,6,23,30,0,7,38.71,8
2004,1,7,0,0,0,7,43.58,8
2004,1,7,0,30,0,7,43.58,8
2004,1,7,1,0,0,4,48.16,8
2004,1,7,1,30,0,7,48.15,8
2004,1,7,2,0,0,6,51.26,8
2004,1,7,2,30,0,6,54.87,8
2004,1,7,3,0,0,4,57.12,8
2004,1,7,3,30,0,7,57.13,7
2004,1,7,4,0,0,7,58.33,7
2004,1,7,4,30,0,6,58.34,7
2004,1,7,5,0,0,7,57.72,8
2004,1,7,5,30,0,7,57.72,8
2004,1,7,6,0,0,8,52.58,9
2004,1,7,6,30,0,8,49.15,10
2004,1,7,7,0,0,7,44.48,11
2004,1,7,7,30,54,7,41.63,12
2004,1,7,8,0,90,7,37.87,13
2004,1,7,8,30,7,7,37.88,13
2004,1,7,9,0,221,7,34.45,14
2004,1,7,9,30,699,7,32.28,15
2004,1,7,10,0,861,0,27.48,16
2004,1,7,10,30,336,7,27.47,16
2004,1,7,11,0,528,8,22.21,17
2004,1,7,11,30,523,8,20.84,18
2004,1,7,12,0,380,4,19.28,19
2004,1,7,12,30,374,8,19.28,19
2004,1,7,13,0,444,8,17.85,20
2004,1,7,13,30,570,8,17.85,20
2004,1,7,14,0,185,7,17.61,20
2004,1,7,14,30,168,8,18.74,19
2004,1,7,15,0,472,8,25.36,18
2004,1,7,15,30,395,8,28.8,16
2004,1,7,16,0,182,7,30.68,14
2004,1,7,16,30,63,7,32.76,13
2004,1,7,17,0,0,7,28.5,13
2004,1,7,17,30,0,7,30.45,12
2004,1,7,18,0,0,7,29.33,12
2004,1,7,18,30,0,0,29.33,11
2004,1,7,19,0,0,0,30.07,11
2004,1,7,19,30,0,0,32.14,11
2004,1,7,20,0,0,0,33.54,11
2004,1,7,20,30,0,0,33.54,11
2004,1,7,21,0,0,4,35.79,11
2004,1,7,21,30,0,0,35.79,11
2004,1,7,22,0,0,0,39.39,11
2004,1,7,22,30,0,0,39.4,10
2004,1,7,23,0,0,0,43.07,10
2004,1,7,23,30,0,0,46.07,9
2004,1,8,0,0,0,0,49.35,9
2004,1,8,0,30,0,0,52.8,9
2004,1,8,1,0,0,0,54.24,9
2004,1,8,1,30,0,0,54.23,9
2004,1,8,2,0,0,0,52.92,9
2004,1,8,2,30,0,0,52.91,9
2004,1,8,3,0,0,0,47.44,9
2004,1,8,3,30,0,0,50.76,9
2004,1,8,4,0,0,0,48.51,9
2004,1,8,4,30,0,0,48.52,8
2004,1,8,5,0,0,0,46.33,8
2004,1,8,5,30,0,0,49.61,7
2004,1,8,6,0,0,0,47.63,7
2004,1,8,6,30,0,0,47.65,7
2004,1,8,7,0,234,0,45.2,8
2004,1,8,7,30,521,0,42.26,10
2004,1,8,8,0,674,0,36.36,12
2004,1,8,8,30,768,0,34.05,13
2004,1,8,9,0,829,0,28.51,15
2004,1,8,9,30,872,0,26.73,16
2004,1,8,10,0,888,0,21.08,18
2004,1,8,10,30,909,0,19.79,19
2004,1,8,11,0,921,0,18.2,20
2004,1,8,11,30,928,0,18.19,20
2004,1,8,12,0,927,0,16.84,21
2004,1,8,12,30,922,0,16.84,21
2004,1,8,13,0,901,0,15.4,22
2004,1,8,13,30,881,0,15.4,21
2004,1,8,14,0,854,0,15.33,21
2004,1,8,14,30,813,0,16.3,20
2004,1,8,15,0,756,0,23.19,20
2004,1,8,15,30,667,0,26.29,18
2004,1,8,16,0,517,0,27.01,16
2004,1,8,16,30,268,0,28.81,14
2004,1,8,17,0,0,0,28.12,13
2004,1,8,17,30,0,0,30.02,12
2004,1,8,18,0,0,0,28.99,12
2004,1,8,18,30,0,0,30.97,12
2004,1,8,19,0,0,0,30.75,12
2004,1,8,19,30,0,0,30.75,12
2004,1,8,20,0,0,0,31,12
2004,1,8,20,30,0,0,31,12
2004,1,8,21,0,0,0,31.39,12
2004,1,8,21,30,0,0,31.39,12
2004,1,8,22,0,0,0,31.81,12
2004,1,8,22,30,0,0,31.8,11
2004,1,8,23,0,0,0,32.46,11
2004,1,8,23,30,0,0,34.69,11
2004,1,9,0,0,0,0,35.62,11
2004,1,9,0,30,0,0,38.09,10
2004,1,9,1,0,0,0,39.06,10
2004,1,9,1,30,0,0,39.06,9
2004,1,9,2,0,0,0,40.13,9
2004,1,9,2,30,0,0,42.94,9
2004,1,9,3,0,0,0,44.75,9
2004,1,9,3,30,0,0,47.91,8
2004,1,9,4,0,0,0,50,8
2004,1,9,4,30,0,0,50.02,7
2004,1,9,5,0,0,0,51.93,7
2004,1,9,5,30,0,0,55.63,7
2004,1,9,6,0,0,0,57.3,7
2004,1,9,6,30,0,0,53.51,8
2004,1,9,7,0,175,0,52.34,9
2004,1,9,7,30,469,0,45.77,11
2004,1,9,8,0,631,0,41,13
2004,1,9,8,30,732,0,38.4,14
2004,1,9,9,0,799,0,33.76,16
2004,1,9,9,30,845,0,31.65,17
2004,1,9,10,0,886,0,27.81,19
2004,1,9,10,30,907,0,26.11,20
2004,1,9,11,0,920,0,24.2,21
2004,1,9,11,30,927,0,22.75,22
2004,1,9,12,0,925,0,21.03,23
2004,1,9,12,30,920,1,21.03,23
2004,1,9,13,0,913,1,19.55,23
2004,1,9,13,30,528,3,19.54,23
2004,1,9,14,0,861,0,19.45,23
2004,1,9,14,30,819,1,21.96,22
2004,1,9,15,0,756,0,28.45,21
2004,1,9,15,30,667,0,32.21,19
2004,1,9,16,0,507,0,33.83,17
2004,1,9,16,30,258,0,36.06,16
2004,1,9,17,0,0,0,33.41,15
2004,1,9,17,30,0,0,35.63,14
2004,1,9,18,0,0,0,37.28,14
2004,1,9,18,30,0,0,37.28,14
2004,1,9,19,0,0,1,36.76,14
2004,1,9,19,30,0,3,39.25,13
2004,1,9,20,0,0,0,38.91,13
2004,1,9,20,30,0,0,38.91,13
2004,1,9,21,0,0,0,38.68,13
2004,1,9,21,30,0,0,41.31,12
2004,1,9,22,0,0,0,41.19,12
2004,1,9,22,30,0,0,41.19,12
2004,1,9,23,0,0,0,41.12,12
2004,1,9,23,30,0,0,41.12,11
2004,1,10,0,0,0,0,40.99,11
2004,1,10,0,30,0,0,43.81,11
2004,1,10,1,0,0,0,43.57,11
2004,1,10,1,30,0,0,43.56,10
2004,1,10,2,0,0,1,43.26,10
2004,1,10,2,30,0,4,46.25,10
2004,1,10,3,0,0,4,45.88,10
2004,1,10,3,30,0,1,45.89,9
2004,1,10,4,0,0,0,45.52,9
2004,1,10,4,30,0,0,48.72,9
2004,1,10,5,0,0,0,48.41,9
2004,1,10,5,30,0,0,48.42,9
2004,1,10,6,0,0,0,48.23,9
2004,1,10,6,30,0,1,45.09,10
2004,1,10,7,0,0,8,43.47,11
2004,1,10,7,30,80,3,38.08,13
2004,1,10,8,0,133,3,33.61,15
2004,1,10,8,30,703,0,31.51,16
2004,1,10,9,0,774,0,26,18
2004,1,10,9,30,821,0,24.41,19
2004,1,10,10,0,901,0,20.62,21
2004,1,10,10,30,768,8,19.37,22
2004,1,10,11,0,738,3,17.49,23
2004,1,10,11,30,606,3,16.45,23
2004,1,10,12,0,718,7,14.91,24
2004,1,10,12,30,654,8,14.9,24
2004,1,10,13,0,645,8,14.4,25
2004,1,10,13,30,648,8,14.39,25
2004,1,10,14,0,632,8,13.44,25
2004,1,10,14,30,478,8,15.14,24
2004,1,10,15,0,561,8,21.44,23
2004,1,10,15,30,644,0,24.24,20
2004,1,10,16,0,473,7,26,18
2004,1,10,16,30,192,7,27.69,17
2004,1,10,17,0,0,7,27.01,16
2004,1,10,17,30,0,1,28.79,15
2004,1,10,18,0,0,1,27.98,15
2004,1,10,18,30,0,7,29.85,15
2004,1,10,19,0,0,7,29.29,15
2004,1,10,19,30,0,7,31.26,14
2004,1,10,20,0,0,7,31.01,14
2004,1,10,20,30,0,1,31.01,13
2004,1,10,21,0,0,0,30.95,13
2004,1,10,21,30,0,0,33.04,13
2004,1,10,22,0,0,1,33.22,13
2004,1,10,22,30,0,1,33.21,12
2004,1,10,23,0,0,1,33.61,12
2004,1,10,23,30,0,0,35.91,12
2004,1,11,0,0,0,0,36.4,12
2004,1,11,0,30,0,0,38.9,11
2004,1,11,1,0,0,0,39.28,11
2004,1,11,1,30,0,0,39.27,10
2004,1,11,2,0,0,0,39.46,10
2004,1,11,2,30,0,0,42.19,10
2004,1,11,3,0,0,0,42.24,10
2004,1,11,3,30,0,0,45.19,9
2004,1,11,4,0,0,0,45.28,9
2004,1,11,4,30,0,0,45.29,9
2004,1,11,5,0,0,0,45.38,9
2004,1,11,5,30,0,0,45.39,8
2004,1,11,6,0,0,0,45.63,8
2004,1,11,6,30,0,0,42.65,9
2004,1,11,7,0,189,0,41.5,11
2004,1,11,7,30,476,0,36.37,13
2004,1,11,8,0,633,0,32.52,15
2004,1,11,8,30,731,0,30.49,16
2004,1,11,9,0,794,0,26.67,18
2004,1,11,9,30,839,0,25.03,19
2004,1,11,10,0,900,0,23.78,20
2004,1,11,10,30,920,0,22.34,21
2004,1,11,11,0,932,0,20.06,23
2004,1,11,11,30,938,0,20.05,23
2004,1,11,12,0,938,0,19.09,24
2004,1,11,12,30,933,0,19.08,24
2004,1,11,13,0,929,0,18.1,25
2004,1,11,13,30,911,0,18.1,25
2004,1,11,14,0,885,0,18.26,25
2004,1,11,14,30,847,0,19.39,24
2004,1,11,15,0,793,0,25.95,23
2004,1,11,15,30,712,0,29.33,21
2004,1,11,16,0,573,0,28.37,20
2004,1,11,16,30,344,0,30.21,19
2004,1,11,17,0,0,0,30.15,18
2004,1,11,17,30,0,0,32.13,17
2004,1,11,18,0,0,0,34.11,16
2004,1,11,18,30,0,0,36.39,15
2004,1,11,19,0,0,0,36.26,15
2004,1,11,19,30,0,0,36.26,15
2004,1,11,20,0,0,0,36.22,15
2004,1,11,20,30,0,0,36.23,15
2004,1,11,21,0,0,0,36.24,15
2004,1,11,21,30,0,0,36.24,15
2004,1,11,22,0,0,0,36.38,15
