Year,Month,Day,Hour,Minute,DNI,Cloud Type,Relative Humidity,Temperature,Pressure
2012,1,1,0,30,0,0,89.01,22,1010
2012,1,1,1,30,0,0,94.43,21,1010
2012,1,1,2,30,0,0,94.65,21,1010
2012,1,1,3,30,0,0,95.1,21,1010
2012,1,1,4,30,0,0,100,20,1010
2012,1,1,5,30,0,0,100,20,1010
2012,1,1,6,30,0,0,100,20,1010
2012,1,1,7,30,475,0,91.24,22,1020
2012,1,1,8,30,705,0,75.45,25,1020
2012,1,1,9,30,810,0,64.32,27,1020
2012,1,1,10,30,860,1,57.88,28,1010
2012,1,1,11,30,877,0,53.1,29,1010
2012,1,1,12,30,875,1,52.38,29,1010
2012,1,1,13,30,849,1,52.15,29,1010
2012,1,1,14,30,791,0,52.15,29,1010
2012,1,1,15,30,667,0,55.59,28,1010
2012,1,1,16,30,440,0,63.43,26,1010
2012,1,1,17,30,0,0,69.4,25,1010
2012,1,1,18,30,0,0,76.1,24,1020
2012,1,1,19,30,0,0,78.1,24,1020
2012,1,1,20,30,0,0,84.6,23,1020
2012,1,1,21,30,0,0,85.83,23,1020
2012,1,1,22,30,0,0,92.01,22,1020
2012,1,1,23,30,0,1,92.17,22,1020
2012,1,2,0,30,0,1,97.78,21,1010
2012,1,2,1,30,0,1,97.47,21,1010
2012,1,2,2,30,0,3,97.01,21,1010
2012,1,2,3,30,0,3,96.36,21,1010
2012,1,2,4,30,0,0,95.62,21,1010
2012,1,2,5,30,0,0,94.95,21,1020
2012,1,2,6,30,0,4,94.15,21,1020
2012,1,2,7,30,203,8,88.11,22,1020
2012,1,2,8,30,380,7,81.92,23,1020
2012,1,2,9,30,553,3,74.9,24,1020
2012,1,2,10,30,347,8,68.65,25,1020
2012,1,2,11,30,470,7,67.11,25,1020
2012,1,2,12,30,208,7,66.45,25,1020
2012,1,2,13,30,400,8,71.06,24,1020
2012,1,2,14,30,531,7,76.8,23,1020
2012,1,2,15,30,440,7,83.98,22,1020
2012,1,2,16,30,188,3,86.69,22,1020
2012,1,2,17,30,0,7,93.77,21,1020
2012,1,2,18,30,0,7,93.75,21,1020
2012,1,2,19,30,0,4,91.59,21,1020
2012,1,2,20,30,0,3,87.9,21,1020
2012,1,2,21,30,0,7,88.53,20,1020
2012,1,2,22,30,0,0,83.25,20,1020
2012,1,2,23,30,0,0,78.55,20,1020
2012,1,3,0,30,0,0,74.73,20,1020
2012,1,3,1,30,0,0,76.09,19,1020
2012,1,3,2,30,0,1,73.16,19,1020
2012,1,3,3,30,0,7,70.83,19,1020
2012,1,3,4,30,0,7,69.45,19,1020
2012,1,3,5,30,0,3,68.31,19,1020
2012,1,3,6,30,0,0,67.03,19,1020
2012,1,3,7,30,357,0,62.08,20,1020
2012,1,3,8,30,644,1,56.22,21,1020
2012,1,3,9,30,818,2,50.66,22,1020
2012,1,3,10,30,38,2,46.54,23,1020
2012,1,3,11,30,13,3,43.4,24,1020
2012,1,3,12,30,395,2,43.55,24,1020
2012,1,3,13,30,139,3,43.93,24,1020
2012,1,3,14,30,168,3,47.21,23,1020
2012,1,3,15,30,670,1,50.44,22,1020
2012,1,3,16,30,428,0,53.78,21,1020
2012,1,3,17,30,0,1,57.95,20,1020
2012,1,3,18,30,0,0,62.95,19,1020
2012,1,3,19,30,0,0,64.05,19,1020
2012,1,3,20,30,0,0,68.96,18,1020
2012,1,3,21,30,0,0,69.52,18,1020
2012,1,3,22,30,0,1,74.4,17,1020
2012,1,3,23,30,0,0,74.73,17,1020
2012,1,4,0,30,0,0,79.69,16,1020
2012,1,4,1,30,0,0,79.37,16,1020
2012,1,4,2,30,0,0,84.27,15,1020
2012,1,4,3,30,0,1,83.92,15,1020
2012,1,4,4,30,0,1,83.97,15,1020
2012,1,4,5,30,0,1,89.1,14,1020
2012,1,4,6,30,0,0,88.5,14,1020
2012,1,4,7,30,93,3,77.62,16,1020
2012,1,4,8,30,726,0,61.02,19,1020
2012,1,4,9,30,849,0,51.64,21,1020
2012,1,4,10,30,912,0,47.18,22,1020
2012,1,4,11,30,937,0,43.35,23,1020
2012,1,4,12,30,943,0,40.25,24,1020
2012,1,4,13,30,919,0,40.3,24,1020
2012,1,4,14,30,866,0,40.99,24,1020
2012,1,4,15,30,763,0,44.66,23,1020
2012,1,4,16,30,533,0,49.03,22,1020
2012,1,4,17,30,0,0,59,20,1020
2012,1,4,18,30,0,0,65.67,19,1020
2012,1,4,19,30,0,0,71.4,19,1020
2012,1,4,20,30,0,0,72.08,18,1020
2012,1,4,21,30,0,0,72.65,18,1020
2012,1,4,22,30,0,0,77.72,17,1020
2012,1,4,23,30,0,7,77.89,17,1020
2012,1,5,0,30,0,7,82.99,16,1020
2012,1,5,1,30,0,1,82.81,16,1020
2012,1,5,2,30,0,0,82.72,16,1020
2012,1,5,3,30,0,1,87.79,16,1020
2012,1,5,4,30,0,0,87.85,15,1020
2012,1,5,5,30,0,0,87.96,15,1020
2012,1,5,6,30,0,0,87.83,15,1020
2012,1,5,7,30,522,0,77.88,17,1020
2012,1,5,8,30,757,0,62.24,20,1020
2012,1,5,9,30,868,0,52.15,22,1020
2012,1,5,10,30,923,1,47.36,23,1020
2012,1,5,11,30,948,1,43.37,24,1020
2012,1,5,12,30,940,1,42.45,24,1020
2012,1,5,13,30,918,2,41.79,24,1010
2012,1,5,14,30,868,0,41.67,24,1010
2012,1,5,15,30,768,0,44.72,23,1010
2012,1,5,16,30,549,0,48.79,22,1010
2012,1,5,17,30,0,0,58.54,20,1010
2012,1,5,18,30,0,0,65.26,19,1020
2012,1,5,19,30,0,0,71.31,18,1020
