Year,Month,Day,Hour,Minute,DNI,Cloud Type,Relative Humidity,Temperature,Pressure
1998,1,1,0,30,0,7,80.53,19,1020
1998,1,1,1,30,0,4,79.5,19,1020
1998,1,1,2,30,0,7,78.77,19,1020
1998,1,1,3,30,0,7,78.43,19,1020
1998,1,1,4,30,0,7,78.47,19,1020
1998,1,1,5,30,0,7,78.96,19,1020
1998,1,1,6,30,0,7,80.24,19,1020
1998,1,1,7,30,431,0,79.22,20,1020
1998,1,1,8,30,668,0,73,22,1020
1998,1,1,9,30,773,0,63.85,24,1020
1998,1,1,10,30,316,2,56.16,25,1020
1998,1,1,11,30,55,2,53.39,25,1020
1998,1,1,12,30,0,3,48.37,26,1020
1998,1,1,13,30,362,2,47.38,26,1020
1998,1,1,14,30,728,1,49.42,25,1020
1998,1,1,15,30,597,0,52.28,24,1010
1998,1,1,16,30,336,0,56.64,23,1010
1998,1,1,17,30,0,0,62.75,22,1020
1998,1,1,18,30,0,3,68.79,21,1020
1998,1,1,19,30,0,4,74.28,20,1020
1998,1,1,20,30,0,7,74.52,20,1020
1998,1,1,21,30,0,4,78.47,19,1020
1998,1,1,22,30,0,4,77.05,19,1020
1998,1,1,23,30,0,7,80.69,18,1020
1998,1,2,0,30,0,3,80.02,18,1020
1998,1,2,1,30,0,3,79.83,18,1020
1998,1,2,2,30,0,7,80.31,18,1010
1998,1,2,3,30,0,7,81.64,18,1010
1998,1,2,4,30,0,7,83.79,18,1010
1998,1,2,5,30,0,7,86.17,18,1010
1998,1,2,6,30,0,8,88.79,18,1020
1998,1,2,7,30,18,8,86.29,19,1020
1998,1,2,8,30,158,8,78.5,21,1020
1998,1,2,9,30,389,8,68.48,23,1020
1998,1,2,10,30,277,3,62.24,24,1010
1998,1,2,11,30,337,2,57.79,25,1010
1998,1,2,12,30,184,4,58.14,25,1010
1998,1,2,13,30,743,0,55.8,26,1010
1998,1,2,14,30,109,3,60.51,25,1010
1998,1,2,15,30,0,3,65.75,24,1010
1998,1,2,16,30,244,2,71.61,23,1010
1998,1,2,17,30,0,0,77.57,22,1010
1998,1,2,18,30,0,0,83.72,21,1010
1998,1,2,19,30,0,3,84.88,21,1010
1998,1,2,20,30,0,0,91.34,20,1010
1998,1,2,21,30,0,0,92.28,20,1010
1998,1,2,22,30,0,0,93.03,20,1010
1998,1,2,23,30,0,0,94.09,20,1010
1998,1,3,0,30,0,0,95.3,20,1010
1998,1,3,1,30,0,0,100,19,1010
1998,1,3,2,30,0,0,100,19,1010
1998,1,3,3,30,0,3,98.8,20,1010
1998,1,3,4,30,0,1,99.95,20,1010
1998,1,3,5,30,0,1,100,20,1010
1998,1,3,6,30,0,4,100,20,1010
1998,1,3,7,30,14,3,97.78,21,1010
1998,1,3,8,30,257,3,88.19,23,1010
1998,1,3,9,30,214,3,77.2,25,1010
1998,1,3,10,30,56,3,72.45,26,1010
1998,1,3,11,30,89,4,68.75,27,1010
1998,1,3,12,30,8,4,64.9,28,1010
1998,1,3,13,30,21,3,65.04,28,1010
1998,1,3,14,30,204,4,65.59,28,1010
1998,1,3,15,30,409,1,70.27,27,1010
1998,1,3,16,30,153,0,75.63,26,1010
1998,1,3,17,30,0,3,81.9,25,1010
1998,1,3,18,30,0,3,87.79,24,1010
1998,1,3,19,30,0,3,93.59,23,1010
1998,1,3,20,30,0,0,94.01,23,1010
1998,1,3,21,30,0,0,100,22,1010
1998,1,3,22,30,0,0,100,22,1010
1998,1,3,23,30,0,0,99.74,22,1010
1998,1,4,0,30,0,0,100,21,1010
1998,1,4,1,30,0,0,100,21,1010
1998,1,4,2,30,0,0,100,21,1010
1998,1,4,3,30,0,0,100,21,1010
1998,1,4,4,30,0,0,100,21,1010
1998,1,4,5,30,0,0,100,21,1010
1998,1,4,6,30,0,3,100,21,1010
1998,1,4,7,30,358,0,99.12,23,1010
1998,1,4,8,30,624,0,91.05,25,1010
1998,1,4,9,30,753,0,75.93,27,1010
1998,1,4,10,30,824,0,68.69,28,1010
1998,1,4,11,30,853,0,62.14,29,1010
1998,1,4,12,30,850,0,56.92,30,1010
1998,1,4,13,30,0,3,55.96,30,1000
