Year,Month,Day,Hour,Minute,DNI,Cloud Type,Relative Humidity,Temperature,Pressure
2011,1,1,0,30,0,7,43.38,3,1020
2011,1,1,1,30,0,7,46.61,3,1020
2011,1,1,2,30,0,7,50.55,2,1020
2011,1,1,3,30,0,7,52.22,1,1020
2011,1,1,4,30,0,7,50.47,0,1020
2011,1,1,5,30,0,4,50.18,0,1020
2011,1,1,6,30,0,0,51.05,0,1020
2011,1,1,7,30,546,0,50.76,1,1020
2011,1,1,8,30,784,0,39.75,4,1020
2011,1,1,9,30,885,0,28.54,7,1020
2011,1,1,10,30,930,0,21.09,9,1020
2011,1,1,11,30,946,0,19.02,10,1020
2011,1,1,12,30,939,0,17.89,11,1020
2011,1,1,13,30,900,0,18.29,11,1020
2011,1,1,14,30,827,0,20.17,10,1020
2011,1,1,15,30,669,0,29.03,8,1020
2011,1,1,16,30,235,0,43.5,6,1020
2011,1,1,17,30,0,0,36.83,6,1020
2011,1,1,18,30,0,1,33.97,6,1020
2011,1,1,19,30,0,0,34.93,5,1020
2011,1,1,20,30,0,0,34.93,4,1020
2011,1,1,21,30,0,0,39.12,4,1020
2011,1,1,22,30,0,4,41.68,3,1020
2011,1,1,23,30,0,7,45.8,3,1020
2011,1,2,0,30,0,0,46.83,2,1020
2011,1,2,1,30,0,0,50.03,2,1020
2011,1,2,2,30,0,0,52.81,1,1020
2011,1,2,3,30,0,0,53.28,0,1020
2011,1,2,4,30,0,0,54.37,0,1020
2011,1,2,5,30,0,0,60.35,0,1020
2011,1,2,6,30,0,0,58.54,0,1020
2011,1,2,7,30,493,0,59.5,2,1020
2011,1,2,8,30,508,7,45.99,5,1020
2011,1,2,9,30,835,1,36.78,7,1020
2011,1,2,10,30,903,0,31.22,9,1020
2011,1,2,11,30,383,4,28.9,10,1010
2011,1,2,12,30,916,0,27.08,11,1010
2011,1,2,13,30,429,8,25.9,11,1010
2011,1,2,14,30,146,7,28.53,10,1010
2011,1,2,15,30,378,8,40.23,8,1010
2011,1,2,16,30,0,7,49.1,7,1010
2011,1,2,17,30,0,7,45.53,7,1010
2011,1,2,18,30,0,6,46.73,6,1010
2011,1,2,19,30,0,7,50.37,6,1010
2011,1,2,20,30,0,7,51.09,5,1010
2011,1,2,21,30,0,7,57.65,5,1010
2011,1,2,22,30,0,7,60.77,5,1010
2011,1,2,23,30,0,0,62.23,5,1010
2011,1,3,0,30,0,0,62.88,4,1010
2011,1,3,1,30,0,0,62.53,4,1010
2011,1,3,2,30,0,0,66.04,4,1010
2011,1,3,3,30,0,0,65.04,4,1010
2011,1,3,4,30,0,0,64.27,4,1010
2011,1,3,5,30,0,0,63.11,3,1010
2011,1,3,6,30,0,0,62.28,4,1010
2011,1,3,7,30,500,0,58.86,6,1010
2011,1,3,8,30,743,0,50.64,8,1010
2011,1,3,9,30,211,4,42.25,11,1010
2011,1,3,10,30,60,4,40.17,13,1010
2011,1,3,11,30,888,0,41.04,14,1010
2011,1,3,12,30,880,0,40.73,15,1010
2011,1,3,13,30,839,0,42.09,15,1010
2011,1,3,14,30,759,0,45.91,14,1010
2011,1,3,15,30,596,0,58.06,12,1010
2011,1,3,16,30,195,0,66.69,9,1010
2011,1,3,17,30,0,4,66.67,9,1010
2011,1,3,18,30,0,0,65.18,9,1010
2011,1,3,19,30,0,0,63.88,9,1010
2011,1,3,20,30,0,0,67.28,8,1010
2011,1,3,21,30,0,0,71.2,7,1010
2011,1,3,22,30,0,0,75.41,6,1010
2011,1,3,23,30,0,0,74.39,5,1010
2011,1,4,0,30,0,0,78.79,4,1010
2011,1,4,1,30,0,0,83.93,4,1010
2011,1,4,2,30,0,0,83.75,3,1010
2011,1,4,3,30,0,0,89.86,3,1010
2011,1,4,4,30,0,0,89.93,3,1010
2011,1,4,5,30,0,0,90.11,3,1020
2011,1,4,6,30,0,0,84.06,4,1020
2011,1,4,7,30,481,0,75.95,6,1020
2011,1,4,8,30,731,0,63.45,9,1020
2011,1,4,9,30,837,0,50.87,12,1020
2011,1,4,10,30,883,0,43.87,13,1020
2011,1,4,11,30,903,0,40.88,14,1020
2011,1,4,12,30,897,0,38.19,15,1020
2011,1,4,13,30,853,0,37.95,16,1010
2011,1,4,14,30,776,0,40.27,15,1010
2011,1,4,15,30,619,0,52.29,13,1010
2011,1,4,16,30,218,0,57.68,11,1020
2011,1,4,17,30,0,0,52.87,10,1020
2011,1,4,18,30,0,0,55,9,1020
2011,1,4,19,30,0,0,57.85,9,1020
2011,1,4,20,30,0,0,61.22,8,1020
2011,1,4,21,30,0,0,64.74,7,1020
2011,1,4,22,30,0,0,68.33,6,1020
2011,1,4,23,30,0,0,72.03,5,1020
2011,1,5,0,30,0,0,70.81,5,1020
2011,1,5,1,30,0,0,69.84,4,1020
2011,1,5,2,30,0,7,73.51,4,1020
2011,1,5,3,30,0,7,71.97,4,1020
2011,1,5,4,30,0,8,70.7,4,1020
2011,1,5,5,30,0,4,69.44,4,1020
2011,1,5,6,30,0,7,63.57,5,1020
2011,1,5,7,30,206,7,57.49,7,1020
2011,1,5,8,30,536,8,48.09,10,1020
2011,1,5,9,30,830,0,39.51,12,1020
2011,1,5,10,30,878,0,34.2,14,1020
2011,1,5,11,30,884,0,31.69,15,1020
2011,1,5,12,30,878,0,29.67,16,1020
2011,1,5,13,30,893,0,27.77,17,1020
2011,1,5,14,30,385,4,29.54,16,1020
2011,1,5,15,30,380,4,42.22,15,1020
2011,1,5,16,30,0,7,39.58,13,1020
2011,1,5,17,30,0,7,39.47,12,1020
2011,1,5,18,30,0,7,41.91,11,1020
2011,1,5,19,30,0,7,44.74,10,1020
2011,1,5,20,30,0,7,44.61,10,1020
2011,1,5,21,30,0,7,47.21,9,1020
2011,1,5,22,30,0,7,46.54,8,1020
2011,1,5,23,30,0,7,49.05,7,1020
2011,1,6,0,30,0,7,51.37,7,1020
2011,1,6,1,30,0,7,51.81,6,1020
2011,1,6,2,30,0,7,55.48,6,1020
2011,1,6,3,30,0,7,55.52,6,1020
2011,1,6,4,30,0,7,59.46,5,1020
2011,1,6,5,30,0,7,58.97,5,1020
2011,1,6,6,30,0,7,54.9,6,1020
2011,1,6,7,30,483,7,51.1,8,1020
2011,1,6,8,30,272,4,41.36,11,1020
2011,1,6,9,30,677,8,31.77,13,1020
2011,1,6,10,30,895,0,26.93,15,1020
2011,1,6,11,30,909,0,24.79,16,1010
2011,1,6,12,30,902,0,22.27,17,1010
2011,1,6,13,30,892,0,20.58,18,1010
2011,1,6,14,30,823,0,22.21,17,1010
2011,1,6,15,30,671,0,36.5,15,1010
2011,1,6,16,30,261,0,33.71,14,1010
2011,1,6,17,30,0,0,31.59,13,1010
2011,1,6,18,30,0,0,35.4,11,1010
2011,1,6,19,30,0,4,42.29,10,1010
2011,1,6,20,30,0,1,44.02,10,1010
2011,1,6,21,30,0,4,45.76,9,1010
2011,1,6,22,30,0,1,51.27,9,1010
2011,1,6,23,30,0,0,54.48,9,1010
