Year,Month,Day,Hour,Minute,DNI,Cloud Type,Relative Humidity,Temperature
2009,1,1,0,0,0,0,58.75,9
2009,1,1,0,30,0,0,58.76,9
2009,1,1,1,0,0,0,58.46,9
2009,1,1,1,30,0,0,62.58,8
2009,1,1,2,0,0,0,62.68,8
2009,1,1,2,30,0,0,62.68,8
2009,1,1,3,0,0,0,62.77,8
2009,1,1,3,30,0,0,67.23,7
2009,1,1,4,0,0,0,67.19,7
2009,1,1,4,30,0,0,67.19,7
2009,1,1,5,0,0,0,67.34,7
2009,1,1,5,30,0,0,72.19,6
2009,1,1,6,0,0,0,72.44,6
2009,1,1,6,30,0,0,67.62,6
2009,1,1,7,0,158,0,66.8,7
2009,1,1,7,30,438,0,62.42,9
2009,1,1,8,0,599,0,55.75,11
2009,1,1,8,30,702,0,52.17,12
2009,1,1,9,0,769,0,44.89,14
2009,1,1,9,30,817,0,42.06,15
2009,1,1,10,0,894,0,39.07,16
2009,1,1,10,30,915,0,36.63,17
2009,1,1,11,0,927,0,34.31,18
2009,1,1,11,30,934,0,34.28,18
2009,1,1,12,0,934,0,32.17,19
2009,1,1,12,30,928,0,32.15,19
2009,1,1,13,0,923,0,30.16,19
2009,1,1,13,30,904,0,30.15,19
2009,1,1,14,0,875,0,30.05,19
2009,1,1,14,30,833,0,31.98,18
2009,1,1,15,0,772,0,44.09,18
2009,1,1,15,30,680,0,46.97,17
2009,1,1,16,0,531,0,42.8,16
2009,1,1,16,30,258,0,45.65,15
2009,1,1,17,0,0,0,42,14
2009,1,1,17,30,0,0,44.82,13
2009,1,1,18,0,0,0,47.52,13
2009,1,1,18,30,0,0,50.76,12
2009,1,1,19,0,0,0,50.5,12
2009,1,1,19,30,0,0,53.97,11
2009,1,1,20,0,0,0,53.5,11
2009,1,1,20,30,0,0,57.2,10
2009,1,1,21,0,0,0,56.58,10
2009,1,1,21,30,0,0,56.57,10
2009,1,1,22,0,0,0,56,10
2009,1,1,22,30,0,0,59.9,9
2009,1,1,23,0,0,0,59.22,9
2009,1,1,23,30,0,0,59.21,9
2009,1,2,0,0,0,0,58.47,9
2009,1,2,0,30,0,0,62.58,8
2009,1,2,1,0,0,0,61.9,8
2009,1,2,1,30,0,0,61.9,7
2009,1,2,2,0,0,0,61.18,7
2009,1,2,2,30,0,0,65.51,7
2009,1,2,3,0,0,0,64.75,7
2009,1,2,3,30,0,0,64.75,7
2009,1,2,4,0,0,0,64.31,7
2009,1,2,4,30,0,0,64.31,7
2009,1,2,5,0,0,0,63.83,7
2009,1,2,5,30,0,0,63.83,6
2009,1,2,6,0,0,0,63.12,6
2009,1,2,6,30,0,0,63.13,7
2009,1,2,7,0,202,0,62.53,8
2009,1,2,7,30,490,0,54.6,10
2009,1,2,8,0,647,0,50.68,12
2009,1,2,8,30,744,0,47.45,13
2009,1,2,9,0,809,0,38.56,14
2009,1,2,9,30,853,0,36.14,15
2009,1,2,10,0,869,0,33.5,17
2009,1,2,10,30,890,0,31.42,18
2009,1,2,11,0,905,0,27.3,19
2009,1,2,11,30,910,0,27.27,20
2009,1,2,12,0,912,0,25.33,21
