Year,Month,Day,Hour,Minute,DNI,Relative Humidity,Temperature,Pressure
2001,1,1,0,30,0,29.57,11,1010
2001,1,1,1,30,0,29.7,11,1010
2001,1,1,2,30,0,29.87,11,1010
2001,1,1,3,30,0,32.13,10,1010
2001,1,1,4,30,0,32.43,10,1010
2001,1,1,5,30,0,35.29,9,1010
2001,1,1,6,30,0,36.02,9,1010
2001,1,1,7,30,330,32.24,10,1010
2001,1,1,8,30,446,30.78,12,1010
2001,1,1,9,30,194,27.24,14,1010
2001,1,1,10,30,506,25.65,15,1010
2001,1,1,11,30,606,23.91,16,1010
2001,1,1,12,30,349,22.1,17,1010
2001,1,1,13,30,344,21.63,17,1010
2001,1,1,14,30,381,23.3,16,1010
2001,1,1,15,30,303,25,15,1010
2001,1,1,16,30,0,27.56,13,1010
2001,1,1,17,30,0,26.81,13,1010
2001,1,1,18,30,0,28,12,1010
2001,1,1,19,30,0,29.34,11,1010
2001,1,1,20,30,0,31.08,10,1010
2001,1,1,21,30,0,30.73,10,1010
2001,1,1,22,30,0,30.52,10,1010
2001,1,1,23,30,0,30.42,10,1010
2001,1,2,0,30,0,30.3,10,1010
2001,1,2,1,30,0,30.12,9,1010
2001,1,2,2,30,0,31.95,9,1010
2001,1,2,3,30,0,31.68,9,1010
2001,1,2,4,30,0,31.49,9,1020
2001,1,2,5,30,0,31.37,8,1020
2001,1,2,6,30,0,31.22,9,1020
2001,1,2,7,30,479,25.45,12,1020
2001,1,2,8,30,736,21.37,15,1020
2001,1,2,9,30,845,18.3,18,1020
2001,1,2,10,30,884,16.65,19,1020
2001,1,2,11,30,886,15.62,21,1020
2001,1,2,12,30,862,14.52,22,1020
2001,1,2,13,30,846,13.64,23,1020
2001,1,2,14,30,762,14.77,22,1020
2001,1,2,15,30,598,19.23,19,1020
2001,1,2,16,30,196,21.64,17,1020
2001,1,2,17,30,0,22.65,16,1020
2001,1,2,18,30,0,24.18,15,1020
2001,1,2,19,30,0,25.75,14,1020
2001,1,2,20,30,0,29.14,12,1020
2001,1,2,21,30,0,30.78,11,1020
2001,1,2,22,30,0,32.57,10,1020
2001,1,2,23,30,0,34.61,9,1020
2001,1,3,0,30,0,37.15,8,1020
2001,1,3,1,30,0,37.11,8,1020
2001,1,3,2,30,0,37.06,8,1020
2001,1,3,3,30,0,37.43,7,1020
2001,1,3,4,30,0,40.77,7,1020
2001,1,3,5,30,0,41.78,7,1020
2001,1,3,6,30,0,40.16,8,1020
2001,1,3,7,30,424,33.8,11,1020
2001,1,3,8,30,703,26.64,14,1020
2001,1,3,9,30,830,22.3,18,1020
2001,1,3,10,30,894,18.2,21,1020
2001,1,3,11,30,908,16.67,22,1020
2001,1,3,12,30,898,15.09,23,1020
2001,1,3,13,30,870,13.68,23,1020
2001,1,3,14,30,799,15.04,22,1020
2001,1,3,15,30,646,19.1,19,1020
2001,1,3,16,30,239,20.79,17,1020
2001,1,3,17,30,0,21.49,16,1020
2001,1,3,18,30,0,22.91,14,1020
2001,1,3,19,30,0,26,13,1020
2001,1,3,20,30,0,25.52,12,1020
2001,1,3,21,30,0,26.54,12,1020
2001,1,3,22,30,0,27.54,11,1020
2001,1,3,23,30,0,26.84,10,1020
2001,1,4,0,30,0,28.19,10,1020
2001,1,4,1,30,0,29.77,9,1020
2001,1,4,2,30,0,29.4,9,1020
2001,1,4,3,30,0,29.26,8,1020
2001,1,4,4,30,0,31.36,8,1020
2001,1,4,5,30,0,31.4,8,1020
2001,1,4,6,30,0,29.33,9,1020
2001,1,4,7,30,483,25.83,11,1020
2001,1,4,8,30,742,21.76,14,1020
2001,1,4,9,30,854,19.3,15,1020
2001,1,4,10,30,911,18.42,17,1020
2001,1,4,11,30,931,17.37,18,1020
2001,1,4,12,30,925,16.23,19,1010
2001,1,4,13,30,889,15.23,20,1010
2001,1,4,14,30,819,16.53,19,1010
2001,1,4,15,30,674,20.09,17,1010
2001,1,4,16,30,279,21.81,14,1010
2001,1,4,17,30,0,24.23,13,1010
2001,1,4,18,30,0,24.17,13,1010
2001,1,4,19,30,0,23.99,13,1010
2001,1,4,20,30,0,23.72,13,1010
2001,1,4,21,30,0,23.39,13,1010
2001,1,4,22,30,0,23.06,13,1010
2001,1,4,23,30,0,22.82,13,1010
2001,1,5,0,30,0,22.61,13,1010
2001,1,5,1,30,0,22.41,13,1010
2001,1,5,2,30,0,23.84,12,1010
2001,1,5,3,30,0,25.62,11,1010
2001,1,5,4,30,0,26.08,11,1010
2001,1,5,5,30,0,26.72,11,1010
2001,1,5,6,30,0,27.48,11,1010
2001,1,5,7,30,0,24.95,13,1010
2001,1,5,8,30,28,21.28,16,1010
2001,1,5,9,30,124,17.48,19,1010
2001,1,5,10,30,0,15.34,21,1010
2001,1,5,11,30,0,13.87,22,1010
2001,1,5,12,30,44,12.6,23,1010
2001,1,5,13,30,315,12.29,23,1010
2001,1,5,14,30,0,12.85,22,1010
2001,1,5,15,30,0,15.92,20,1010
2001,1,5,16,30,0,17.01,19,1010
2001,1,5,17,30,0,17.4,18,1010
2001,1,5,18,30,0,18.52,17,1010
2001,1,5,19,30,0,19.38,16,1010
2001,1,5,20,30,0,21.95,14,1010
2001,1,5,21,30,0,22.17,13,1010
2001,1,5,22,30,0,24.76,13,1010
2001,1,5,23,30,0,26.87,13,1010
