Year,Month,Day,Hour,Minute,DNI,Relative Humidity,Temperature,Pressure
2006,1,1,0,30,0,89.08,12,1010
2006,1,1,1,30,0,95.71,12,1010
2006,1,1,2,30,0,95.41,11,1010
2006,1,1,3,30,0,100,11,1010
2006,1,1,4,30,0,100,11,1010
2006,1,1,5,30,0,100,10,1010
2006,1,1,6,30,0,99.49,11,1010
2006,1,1,7,30,436,88.91,12,1010
2006,1,1,8,30,229,78.34,14,1010
2006,1,1,9,30,797,65.86,16,1010
2006,1,1,10,30,302,57.39,18,1010
2006,1,1,11,30,269,49.89,19,1010
2006,1,1,12,30,423,44.84,20,1010
2006,1,1,13,30,72,43.45,20,1010
2006,1,1,14,30,326,45.07,19,1010
2006,1,1,15,30,0,51.2,17,1010
2006,1,1,16,30,176,59.24,15,1010
2006,1,1,17,30,0,63.08,14,1010
2006,1,1,18,30,0,66.29,13,1010
2006,1,1,19,30,0,65.1,12,1010
2006,1,1,20,30,0,68.62,12,1010
2006,1,1,21,30,0,68.58,12,1010
2006,1,1,22,30,0,70.33,11,1010
2006,1,1,23,30,0,78.03,11,1010
2006,1,2,0,30,0,81.2,11,1010
2006,1,2,1,30,0,84.51,11,1010
2006,1,2,2,30,0,87.83,11,1010
2006,1,2,3,30,0,90.64,10,1010
2006,1,2,4,30,0,98.98,10,1010
2006,1,2,5,30,0,100,10,1010
2006,1,2,6,30,0,96.14,11,1010
2006,1,2,7,30,502,89.79,13,1010
2006,1,2,8,30,269,74.42,16,1010
2006,1,2,9,30,372,62.48,19,1010
2006,1,2,10,30,496,51.39,22,1010
2006,1,2,11,30,419,45.08,23,1010
2006,1,2,12,30,0,43.22,23,1000
2006,1,2,13,30,398,43.24,22,1000
2006,1,2,14,30,362,47.42,21,1000
2006,1,2,15,30,8,56.12,19,1010
2006,1,2,16,30,0,66.3,17,1010
2006,1,2,17,30,0,76.15,16,1010
2006,1,2,18,30,0,77.88,15,1010
2006,1,2,19,30,0,77.64,14,1010
2006,1,2,20,30,0,84.13,12,1010
2006,1,2,21,30,0,87.06,11,1010
2006,1,2,22,30,0,91.75,10,1010
2006,1,2,23,30,0,91.22,10,1010
2006,1,3,0,30,0,91.39,9,1010
2006,1,3,1,30,0,97.65,9,1010
2006,1,3,2,30,0,97.9,9,1010
2006,1,3,3,30,0,98.17,9,1010
2006,1,3,4,30,0,98.09,8,1010
2006,1,3,5,30,0,100,8,1010
2006,1,3,6,30,0,96.55,9,1010
2006,1,3,7,30,478,85.9,11,1020
2006,1,3,8,30,738,70.65,14,1020
2006,1,3,9,30,847,56.94,16,1020
2006,1,3,10,30,647,48.33,17,1020
2006,1,3,11,30,699,40.59,18,1020
2006,1,3,12,30,557,36.31,19,1010
2006,1,3,13,30,336,34.47,20,1010
2006,1,3,14,30,836,35.46,19,1010
2006,1,3,15,30,689,43.21,16,1010
2006,1,3,16,30,284,54.05,13,1020
2006,1,3,17,30,0,56.86,12,1020
2006,1,3,18,30,0,60.27,11,1020
2006,1,3,19,30,0,64.04,10,1020
2006,1,3,20,30,0,68.29,9,1020
2006,1,3,21,30,0,67.87,9,1020
2006,1,3,22,30,0,67.24,9,1020
2006,1,3,23,30,0,71.43,8,1020
2006,1,4,0,30,0,71.13,8,1020
2006,1,4,1,30,0,70.91,8,1020
2006,1,4,2,30,0,70.44,7,1020
2006,1,4,3,30,0,74.59,7,1020
2006,1,4,4,30,0,73.91,7,1020
2006,1,4,5,30,0,73.53,7,1020
2006,1,4,6,30,0,68.42,8,1020
2006,1,4,7,30,521,55.43,11,1020
2006,1,4,8,30,525,44.46,14,1020
2006,1,4,9,30,864,35.49,16,1020
2006,1,4,10,30,915,30.62,19,1020
2006,1,4,11,30,930,26.19,21,1020
2006,1,4,12,30,920,23.22,22,1020
2006,1,4,13,30,865,20.56,23,1020
2006,1,4,14,30,783,19.98,22,1020
2006,1,4,15,30,614,27.49,20,1020
2006,1,4,16,30,179,32.86,17,1020
2006,1,4,17,30,0,35.45,15,1020
2006,1,4,18,30,0,35.24,14,1020
2006,1,4,19,30,0,37.41,14,1020
2006,1,4,20,30,0,37.16,14,1020
2006,1,4,21,30,0,36.98,13,1020
2006,1,4,22,30,0,39.4,13,1020
2006,1,4,23,30,0,39.36,13,1020
2006,1,5,0,30,0,42.06,12,1020
2006,1,5,1,30,0,42.12,12,1020
2006,1,5,2,30,0,42.1,11,1020
