Year,Month,Day,Hour,Minute,DNI,Relative Humidity,Temperature,Pressure
2018,1,1,0,30,0,19.51,13.2,1018
2018,1,1,1,30,0,20.98,12.2,1018
2018,1,1,2,30,0,22.45,11.2,1018
2018,1,1,3,30,0,23.78,10.4,1018
2018,1,1,4,30,0,24.73,9.9,1019
2018,1,1,5,30,0,25.55,9.5,1019
2018,1,1,6,30,0,24.89,10.1,1020
2018,1,1,7,30,428,21.77,12.5,1020
2018,1,1,8,30,585,18.52,15.4,1021
2018,1,1,9,30,718,15.68,17.9,1021
2018,1,1,10,30,872,13.25,20.1,1020
2018,1,1,11,30,809,11.33,21.7,1019
2018,1,1,12,30,910,10.17,22.9,1019
2018,1,1,13,30,747,9.56,23.5,1018
2018,1,1,14,30,653,10.16,22.3,1018
2018,1,1,15,30,586,11.59,21.1,1018
2018,1,1,16,30,97,14.37,17.6,1018
2018,1,1,17,30,0,15.23,16.6,1018
2018,1,1,18,30,0,16.11,15.9,1018
2018,1,1,19,30,0,16.86,15.3,1018
2018,1,1,20,30,0,17.12,15.1,1019
2018,1,1,21,30,0,17.34,14.9,1018
2018,1,1,22,30,0,17.45,14.8,1018
2018,1,1,23,30,0,17.79,14.5,1018
2018,1,2,0,30,0,17.9,14.4,1018
2018,1,2,1,30,0,18.51,13.9,1018
2018,1,2,2,30,0,19.07,13.5,1018
2018,1,2,3,30,0,19.52,13.2,1018
2018,1,2,4,30,0,20.06,12.8,1018
2018,1,2,5,30,0,20.5,12.5,1019
2018,1,2,6,30,0,19.89,13,1019
2018,1,2,7,30,476,16.31,16.1,1019
2018,1,2,8,30,669,12.72,20.2,1020
2018,1,2,9,30,850,10.64,23,1020
2018,1,2,10,30,893,9.35,25,1019
2018,1,2,11,30,905,8.57,26.4,1017
2018,1,2,12,30,895,8.29,27.3,1016
2018,1,2,13,30,863,8.51,27.6,1016
2018,1,2,14,30,785,9.56,26.5,1015
2018,1,2,15,30,622,11.2,25.5,1015
2018,1,2,16,30,192,14.19,21.6,1016
2018,1,2,17,30,0,15.47,20.5,1016
2018,1,2,18,30,0,17.22,19.3,1017
2018,1,2,19,30,0,18.89,18.2,1017
2018,1,2,20,30,0,20.01,17.5,1017
2018,1,2,21,30,0,21.01,16.8,1017
2018,1,2,22,30,0,21.91,16.1,1017
2018,1,2,23,30,0,22.41,15.7,1017
2018,1,3,0,30,0,22.64,15.5,1017
2018,1,3,1,30,0,22.72,15.4,1017
2018,1,3,2,30,0,22.94,15.2,1017
2018,1,3,3,30,0,23.43,14.8,1017
2018,1,3,4,30,0,23.99,14.3,1017
2018,1,3,5,30,0,24.17,14,1018
2018,1,3,6,30,0,23.53,14.2,1018
2018,1,3,7,30,108,21.23,15.7,1018
2018,1,3,8,30,4,18.47,17.9,1018
2018,1,3,9,30,17,15.31,20,1018
2018,1,3,10,30,10,12.33,22,1018
2018,1,3,11,30,51,10.66,23.2,1016
2018,1,3,12,30,52,10.31,23.1,1016
2018,1,3,13,30,11,10.84,22.1,1015
2018,1,3,14,30,22,12.63,20.3,1015
2018,1,3,15,30,0,13.47,19.4,1015
2018,1,3,16,30,0,14.7,18,1016
2018,1,3,17,30,0,15.3,17.7,1016
2018,1,3,18,30,0,16.33,17.3,1017
2018,1,3,19,30,0,17.74,16.9,1017
2018,1,3,20,30,0,19.3,16.6,1017
2018,1,3,21,30,0,20.85,16.4,1017
2018,1,3,22,30,0,22.34,16.2,1017
2018,1,3,23,30,0,23.85,15.8,1017
2018,1,4,0,30,0,25.19,15.3,1016
2018,1,4,1,30,0,26.13,14.8,1016
2018,1,4,2,30,0,26.34,14.3,1016
2018,1,4,3,30,0,26.22,13.8,1016
2018,1,4,4,30,0,26.14,13.3,1017
2018,1,4,5,30,0,26.23,12.8,1017
2018,1,4,6,30,0,24.81,13.4,1018
2018,1,4,7,30,422,20.56,16.4,1018
2018,1,4,8,30,653,16.6,20.1,1019
2018,1,4,9,30,838,12.75,22.9,1019
2018,1,4,10,30,887,10.25,25.1,1018
2018,1,4,11,30,908,9.72,26.5,1017
2018,1,4,12,30,903,9.86,27.3,1016
2018,1,4,13,30,872,10.32,27.3,1016
2018,1,4,14,30,807,11.2,26.3,1016
2018,1,4,15,30,663,12.06,25.3,1016
2018,1,4,16,30,242,14.14,21,1016
2018,1,4,17,30,0,13.13,20.7,1017
2018,1,4,18,30,0,12.65,20.6,1017
