Year,Month,Day,Hour,Minute,DNI,Relative Humidity,Temperature,Pressure
2014,1,1,0,30,0,41.31,8,1010
2014,1,1,1,30,0,41.11,7,1010
2014,1,1,2,30,0,43.87,7,1010
2014,1,1,3,30,0,43.7,6,1010
2014,1,1,4,30,0,46.38,6,1010
2014,1,1,5,30,0,45.57,6,1010
2014,1,1,6,30,0,41.82,7,1010
2014,1,1,7,30,510,37.86,10,1010
2014,1,1,8,30,759,29.93,14,1020
2014,1,1,9,30,865,22.15,17,1010
2014,1,1,10,30,920,19.56,19,1010
2014,1,1,11,30,935,17.44,20,1010
2014,1,1,12,30,925,16.6,21,1010
2014,1,1,13,30,898,16.86,22,1010
2014,1,1,14,30,823,18.6,21,1010
2014,1,1,15,30,664,31.44,18,1010
2014,1,1,16,30,233,30.97,16,1010
2014,1,1,17,30,0,33.01,14,1010
2014,1,1,18,30,0,35.08,13,1010
2014,1,1,19,30,0,34.55,13,1010
2014,1,1,20,30,0,34.49,13,1010
2014,1,1,21,30,0,34.44,13,1010
2014,1,1,22,30,0,36.93,13,1010
2014,1,1,23,30,0,37.17,13,1010
2014,1,2,0,30,0,39.84,12,1010
2014,1,2,1,30,0,40.03,11,1010
2014,1,2,2,30,0,42.79,11,1010
2014,1,2,3,30,0,45.81,10,1010
2014,1,2,4,30,0,49.05,9,1010
2014,1,2,5,30,0,48.95,8,1010
2014,1,2,6,30,0,48.67,9,1010
2014,1,2,7,30,494,43.1,12,1010
2014,1,2,8,30,749,35.81,15,1010
2014,1,2,9,30,859,28.27,17,1010
2014,1,2,10,30,906,24.89,20,1010
2014,1,2,11,30,927,23.22,21,1010
2014,1,2,12,30,923,21.42,22,1010
2014,1,2,13,30,892,19.59,23,1010
2014,1,2,14,30,818,20.66,22,1010
2014,1,2,15,30,659,32.05,19,1010
2014,1,2,16,30,226,31.58,17,1010
2014,1,2,17,30,0,32.66,16,1010
2014,1,2,18,30,0,34.88,15,1010
2014,1,2,19,30,0,36.98,13,1010
2014,1,2,20,30,0,39,13,1010
2014,1,2,21,30,0,40.95,12,1010
2014,1,2,22,30,0,40.17,12,1010
2014,1,2,23,30,0,39.34,12,1010
2014,1,3,0,30,0,41.18,11,1010
2014,1,3,1,30,0,40.4,11,1010
2014,1,3,2,30,0,39.52,10,1010
