Year,Month,Day,Hour,Minute,DNI,Cloud Type,Relative Humidity,Temperature,Pressure
2000,1,1,0,30,0,3,96.25,21,1010
2000,1,1,1,30,0,3,96.33,21,1010
2000,1,1,2,30,0,3,96.34,21,1010
2000,1,1,3,30,0,1,100,20,1010
2000,1,1,4,30,0,0,100,20,1010
2000,1,1,5,30,0,0,100,20,1010
2000,1,1,6,30,0,0,100,20,1010
2000,1,1,7,30,538,0,93.83,21,1010
2000,1,1,8,30,771,0,73.95,24,1010
2000,1,1,9,30,877,0,59.35,26,1010
2000,1,1,10,30,932,0,52.02,27,1010
2000,1,1,11,30,956,0,46.41,28,1010
2000,1,1,12,30,958,0,42.17,29,1010
2000,1,1,13,30,938,1,40.96,29,1010
2000,1,1,14,30,301,3,40.28,29,1010
2000,1,1,15,30,793,0,42.96,28,1010
2000,1,1,16,30,577,0,48.49,27,1010
2000,1,1,17,30,0,0,63.15,25,1010
2000,1,1,18,30,0,0,73.75,23,1010
2000,1,1,19,30,0,3,75.09,23,1010
2000,1,1,20,30,0,1,76.47,23,1010
2000,1,1,21,30,0,3,82.59,22,1010
2000,1,1,22,30,0,0,87.83,21,1010
2000,1,1,23,30,0,1,87.14,21,1010
2000,1,2,0,30,0,1,86.5,21,1010
2000,1,2,1,30,0,1,91.67,20,1010
2000,1,2,2,30,0,1,92.32,20,1010
2000,1,2,3,30,0,1,93.17,20,1010
2000,1,2,4,30,0,1,93.99,20,1010
2000,1,2,5,30,0,1,94.97,20,1010
2000,1,2,6,30,0,0,96.45,20,1010
2000,1,2,7,30,476,1,86.98,22,1010
2000,1,2,8,30,708,0,74.21,25,1010
2000,1,2,9,30,810,0,66.72,27,1010
2000,1,2,10,30,867,0,62.17,28,1010
2000,1,2,11,30,895,0,57.36,29,1010
2000,1,2,12,30,898,0,53.09,30,1010
2000,1,2,13,30,879,1,49.35,31,1010
2000,1,2,14,30,829,0,48.77,31,1010
2000,1,2,15,30,721,0,51.58,30,1010
2000,1,2,16,30,483,0,55.84,29,1010
2000,1,2,17,30,0,1,66.05,27,1010
2000,1,2,18,30,0,0,71.27,26,1010
2000,1,2,19,30,0,0,75.62,25,1010
2000,1,2,20,30,0,0,75.05,25,1010
2000,1,2,21,30,0,0,79.67,24,1010
2000,1,2,22,30,0,0,85.03,23,1010
2000,1,2,23,30,0,0,90.54,22,1010
2000,1,3,0,30,0,0,90.81,22,1010
2000,1,3,1,30,0,0,96.76,21,1010
2000,1,3,2,30,0,0,96.84,21,1010
2000,1,3,3,30,0,0,100,20,1010
2000,1,3,4,30,0,0,100,20,1010
2000,1,3,5,30,0,0,100,20,1010
2000,1,3,6,30,0,0,100,20,1010
2000,1,3,7,30,526,0,96.55,21,1010
2000,1,3,8,30,42,3,87.42,23,1010
2000,1,3,9,30,202,2,70.75,26,1010
2000,1,3,10,30,939,0,58.85,28,1010
2000,1,3,11,30,961,0,52.05,29,1010
2000,1,3,12,30,961,0,47.19,30,1010
2000,1,3,13,30,939,0,43.66,31,1010
2000,1,3,14,30,892,0,45.66,30,1010
2000,1,3,15,30,799,0,48.5,29,1010
