Year,Month,Day,Hour,Minute,DNI,Cloud Type,Relative Humidity,Temperature
2019,1,1,0,0,0,4,72.25,5.5
2019,1,1,0,30,0,4,74.8,5
2019,1,1,1,0,0,4,74.54,4.5
2019,1,1,1,30,0,7,76.2,4.2
2019,1,1,2,0,0,4,73.47,3.9
2019,1,1,2,30,0,4,75.03,3.6
2019,1,1,3,0,0,4,70.84,3.4
2019,1,1,3,30,0,4,72.87,3
2019,1,1,4,0,0,0,68.57,2.7
2019,1,1,4,30,0,0,70.04,2.4
2019,1,1,5,0,0,0,65.08,2.2
2019,1,1,5,30,0,0,66.55,1.9
2019,1,1,6,0,0,0,62.73,1.7
2019,1,1,6,30,0,0,58.48,2.7
2019,1,1,7,0,168,0,54.49,3.8
2019,1,1,7,30,398,0,48.79,5.4
2019,1,1,8,0,555,0,41.55,7.1
2019,1,1,8,30,793,0,38.04,8.4
2019,1,1,9,0,849,0,27.16,9.7
2019,1,1,9,30,891,0,25.58,10.6
2019,1,1,10,0,920,0,20.14,11.4
2019,1,1,10,30,934,0,19.49,11.9
2019,1,1,11,0,937,0,17.44,12.4
2019,1,1,11,30,941,0,17.1,12.7
2019,1,1,12,0,939,0,16.05,13
2019,1,1,12,30,917,0,16.05,13
2019,1,1,13,0,882,0,15.56,13
2019,1,1,13,30,859,0,15.76,12.8
2019,1,1,14,0,825,0,15.7,12.5
2019,1,1,14,30,780,0,16.33,11.9
2019,1,1,15,0,715,0,17.5,11.3
2019,1,1,15,30,607,0,17.5,11.3
2019,1,1,16,0,451,0,28.16,7.4
2019,1,1,16,30,173,0,30.19,6.4
2019,1,1,17,0,0,0,32.45,5.4
2019,1,1,17,30,0,0,33.59,4.9
2019,1,1,18,0,0,0,33.54,4.5
2019,1,1,18,30,0,0,34.5,4.1
2019,1,1,19,0,0,0,35.7,3.7
2019,1,1,19,30,0,0,36.46,3.4
2019,1,1,20,0,0,0,37.37,3.1
2019,1,1,20,30,0,0,37.9,2.9
2019,1,1,21,0,0,0,38.48,2.7
2019,1,1,21,30,0,0,38.76,2.6
2019,1,1,22,0,0,0,39.04,2.5
2019,1,1,22,30,0,0,39.32,2.4
2019,1,1,23,0,0,0,39.5,2.4
2019,1,1,23,30,0,0,39.79,2.3
2019,1,2,0,0,0,0,40.88,2.1
2019,1,2,0,30,0,0,41.13,2
2019,1,2,1,0,0,0,41.91,1.9
2019,1,2,1,30,0,0,42.21,1.8
2019,1,2,2,0,0,0,42.45,1.8
2019,1,2,2,30,0,0,42.76,1.7
2019,1,2,3,0,0,0,43.04,1.7
2019,1,2,3,30,0,0,43.04,1.7
2019,1,2,4,0,0,0,43,1.7
2019,1,2,4,30,0,0,42.74,1.8
2019,1,2,5,0,0,0,42.19,1.8
2019,1,2,5,30,0,0,42.19,1.8
2019,1,2,6,0,0,0,41.87,1.7
2019,1,2,6,30,0,0,38.49,2.9
2019,1,2,7,0,184,0,36.56,4.1
2019,1,2,7,30,351,0,31.85,6.1
2019,1,2,8,0,565,0,26.37,8.1
2019,1,2,8,30,806,0,24.32,9.3
2019,1,2,9,0,862,0,19.48,10.5
2019,1,2,9,30,895,0,18.47,11.3
2019,1,2,10,0,913,0,16.95,12
2019,1,2,10,30,927,0,16.28,12.6
2019,1,2,11,0,932,0,15.41,13.2
2019,1,2,11,30,933,0,15,13.6
2019,1,2,12,0,926,0,14.21,14
2019,1,2,12,30,894,0,14.02,14.2
2019,1,2,13,0,846,0,13.5,14.3
2019,1,2,13,30,816,0,13.5,14.3
2019,1,2,14,0,770,0,13.43,14.2
2019,1,2,14,30,719,0,14.14,13.4
2019,1,2,15,0,644,0,19.84,12.5
2019,1,2,15,30,529,0,19.84,12.5
2019,1,2,16,0,367,0,33.59,8.1
2019,1,2,16,30,127,0,35.74,7.2
2019,1,2,17,0,0,0,34.58,6.4
2019,1,2,17,30,0,0,35.55,6
2019,1,2,18,0,0,0,34.74,5.7
2019,1,2,18,30,0,0,35.46,5.4
2019,1,2,19,0,0,0,35.04,5.1
2019,1,2,19,30,0,0,35.53,4.9
2019,1,2,20,0,0,0,35.3,4.7
2019,1,2,20,30,0,0,35.3,4.7
2019,1,2,21,0,0,0,34.58,4.7
2019,1,2,21,30,0,0,34.34,4.8
2019,1,2,22,0,0,0,33.59,4.8
2019,1,2,22,30,0,0,33.59,4.8
2019,1,2,23,0,0,0,33.02,4.8
2019,1,2,23,30,0,0,33.48,4.6
2019,1,3,0,0,0,0,33.62,4.5
2019,1,3,0,30,0,0,34.57,4.1
2019,1,3,1,0,0,0,35.81,3.8
2019,1,3,1,30,0,0,36.83,3.4
2019,1,3,2,0,0,0,38.25,3.1
2019,1,3,2,30,0,0,39.07,2.8
2019,1,3,3,0,0,0,40.52,2.5
2019,1,3,3,30,0,0,41.1,2.3
2019,1,3,4,0,0,0,42.2,2
2019,1,3,4,30,0,0,42.81,1.8
2019,1,3,5,0,0,0,43.79,1.6
2019,1,3,5,30,0,0,44.15,1.5
2019,1,3,6,0,0,0,44.95,1.4
2019,1,3,6,30,0,0,42.45,2.2
2019,1,3,7,0,143,0,45.93,3.1
2019,1,3,7,30,389,0,39.92,5.1
2019,1,3,8,0,568,0,32.91,7.1
2019,1,3,8,30,813,0,30.13,8.4
2019,1,3,9,0,874,0,25.82,9.8
2019,1,3,9,30,910,0,23.68,11.1
2019,1,3,10,0,931,0,21.46,12.4
2019,1,3,10,30,951,0,20.21,13.3
2019,1,3,11,0,963,0,18.78,14.2
2019,1,3,11,30,970,0,18.16,14.7
2019,1,3,12,0,970,0,17.14,15.3
2019,1,3,12,30,960,0,16.92,15.5
2019,1,3,13,0,942,0,16.26,15.8
2019,1,3,13,30,922,0,16.36,15.7
2019,1,3,14,0,892,0,16.4,15.6
2019,1,3,14,30,849,0,17.27,14.8
2019,1,3,15,0,787,0,28.56,13.9
2019,1,3,15,30,693,0,28.56,13.9
2019,1,3,16,0,540,0,30.8,10.8
2019,1,3,16,30,257,0,32.05,10.2
2019,1,3,17,0,0,0,28.58,9.5
2019,1,3,17,30,0,0,29.96,8.8
2019,1,3,18,0,0,0,31.86,8
2019,1,3,18,30,0,0,33.65,7.2
2019,1,3,19,0,0,0,35.7,6.5
2019,1,3,19,30,0,0,36.7,6.1
2019,1,3,20,0,0,0,37.33,5.7
2019,1,3,20,30,0,0,37.59,5.6
2019,1,3,21,0,0,0,37.56,5.4
2019,1,3,21,30,0,0,37.78,5.3
2019,1,3,22,0,0,0,37.49,5.2
2019,1,3,22,30,0,0,38.02,5
2019,1,3,23,0,0,0,38.18,4.8
2019,1,3,23,30,0,0,38.99,4.5
2019,1,4,0,0,0,0,39.71,4.2
2019,1,4,0,30,0,0,39.71,4.2
2019,1,4,1,0,0,0,39.8,4.1
2019,1,4,1,30,0,0,39.25,4.3
2019,1,4,2,0,0,0,38.7,4.4
2019,1,4,2,30,0,0,38.97,4.3
2019,1,4,3,0,0,0,39.05,4.2
2019,1,4,3,30,0,0,39.6,4
2019,1,4,4,0,0,0,40.14,3.8
2019,1,4,4,30,0,0,40.75,3.6
2019,1,4,5,0,0,0,42.28,3.4
2019,1,4,5,30,0,0,42.88,3.2
2019,1,4,6,0,0,0,44.77,3
2019,1,4,6,30,0,0,43.22,3.5
2019,1,4,7,0,112,0,47.36,4.1
2019,1,4,7,30,356,0,41.5,6
2019,1,4,8,0,559,0,37.58,8
2019,1,4,8,30,779,0,34.66,9.2
2019,1,4,9,0,844,0,30.43,10.5
2019,1,4,9,30,877,0,27.9,11.8
2019,1,4,10,0,894,0,25.98,13
2019,1,4,10,30,917,0,24.16,14.1
2019,1,4,11,0,931,0,22.64,15.1
2019,1,4,11,30,939,0,21.49,15.9
2019,1,4,12,0,940,0,20.66,16.7
2019,1,4,12,30,922,0,20.27,17
2019,1,4,13,0,892,0,20.11,17.4
2019,1,4,13,30,871,0,20.11,17.4
2019,1,4,14,0,840,0,20.62,17.4
2019,1,4,14,30,792,0,21.83,16.5
2019,1,4,15,0,719,0,34.15,15.6
2019,1,4,15,30,617,0,34.15,15.6
2019,1,4,16,0,457,0,31.77,13.2
2019,1,4,16,30,191,0,32.18,13
2019,1,4,17,0,0,0,30.34,12.7
2019,1,4,17,30,0,0,31.76,12
2019,1,4,18,0,0,0,33.01,11.4
2019,1,4,18,30,0,0,34.58,10.7
2019,1,4,19,0,0,0,35.93,10
2019,1,4,19,30,0,7,36.41,9.8
2019,1,4,20,0,0,7,36.16,9.6
2019,1,4,20,30,0,4,35.92,9.7
2019,1,4,21,0,0,8,36.31,9.9
2019,1,4,21,30,0,0,36.28,9.9
2019,1,4,22,0,0,0,34.93,9.9
2019,1,4,22,30,0,7,35.64,9.6
2019,1,4,23,0,0,7,36.09,9.3
2019,1,4,23,30,0,8,36.83,9
2019,1,5,0,0,0,4,36.96,8.8
2019,1,5,0,30,0,0,37.46,8.6
2019,1,5,1,0,0,8,38.27,8.4
2019,1,5,1,30,0,7,38.79,8.2
2019,1,5,2,0,0,0,40.14,8.1
2019,1,5,2,30,0,4,40.69,7.9
2019,1,5,3,0,0,7,41.93,7.8
2019,1,5,3,30,0,7,41.93,7.8
2019,1,5,4,0,0,8,42.81,7.7
2019,1,5,4,30,0,8,42.81,7.7
2019,1,5,5,0,0,7,43.88,7.8
2019,1,5,5,30,0,7,43.88,7.8
2019,1,5,6,0,0,7,45.76,7.8
2019,1,5,6,30,0,7,45.19,8
2019,1,5,7,0,5,7,48.67,8.1
2019,1,5,7,30,0,4,46.73,8.7
2019,1,5,8,0,0,7,50.57,9.2
2019,1,5,8,30,0,6,47.93,10
2019,1,5,9,0,0,8,47.52,10.8
2019,1,5,9,30,4,8,45.07,11.6
2019,1,5,10,0,0,8,42.99,12.3
2019,1,5,10,30,0,6,41.03,13
2019,1,5,11,0,0,6,41.35,13.8
2019,1,5,11,30,6,6,40.51,14.1
2019,1,5,12,0,0,6,44.57,14.5
2019,1,5,12,30,1,6,44.28,14.6
2019,1,5,13,0,0,8,50.54,14.6
2019,1,5,13,30,1,8,51.15,14.4
2019,1,5,14,0,6,8,56.89,14.2
2019,1,5,14,30,55,8,58.76,13.7
2019,1,5,15,0,1,6,59.12,13.3
2019,1,5,15,30,0,7,59.12,13.3
2019,1,5,16,0,0,7,58.63,12.4
2019,1,5,16,30,14,6,60.24,12
2019,1,5,17,0,0,6,60.33,11.7
2019,1,5,17,30,0,8,61.13,11.5
2019,1,5,18,0,0,8,62.3,11.3
2019,1,5,18,30,0,8,63.54,11
2019,1,5,19,0,0,8,64.9,10.8
2019,1,5,19,30,0,8,66.27,10.5
2019,1,5,20,0,0,8,68.43,10.3
2019,1,5,20,30,0,8,69.81,10
2019,1,5,21,0,0,8,72.18,9.7
2019,1,5,21,30,0,8,73.15,9.5
2019,1,5,22,0,0,8,75.21,9.2
2019,1,5,22,30,0,8,75.72,9.1
2019,1,5,23,0,0,8,76.19,9.1
2019,1,5,23,30,0,8,76.71,9
2019,1,6,0,0,0,8,78.08,8.8
2019,1,6,0,30,0,7,78.61,8.7
2019,1,6,1,0,0,8,78.65,8.6
2019,1,6,1,30,0,4,78.65,8.6
2019,1,6,2,0,0,7,78.12,8.5
2019,1,6,2,30,0,7,78.12,8.5
2019,1,6,3,0,0,0,78.45,8.5
2019,1,6,3,30,0,0,80.06,8.2
2019,1,6,4,0,0,4,82.36,8
2019,1,6,4,30,0,4,82.44,8
2019,1,6,5,0,0,4,83.17,8
2019,1,6,5,30,0,4,84.31,7.8
2019,1,6,6,0,0,4,86.35,7.7
2019,1,6,6,30,0,4,81.88,8.5
2019,1,6,7,0,190,0,83.3,9.3
2019,1,6,7,30,398,0,74.94,10.9
2019,1,6,8,0,538,0,72.7,12.6
2019,1,6,8,30,776,0,67.3,13.8
2019,1,6,9,0,839,0,61.9,15
2019,1,6,9,30,873,0,57.7,16.1
2019,1,6,10,0,893,0,50.96,17.1
2019,1,6,10,30,912,0,48.41,17.9
2019,1,6,11,0,543,7,43.58,18.6
2019,1,6,11,30,606,0,42.47,19
2019,1,6,12,0,460,7,39.18,19.5
2019,1,6,12,30,644,0,38.93,19.6
2019,1,6,13,0,904,0,37.53,19.7
2019,1,6,13,30,886,0,37.76,19.6
2019,1,6,14,0,857,0,37.83,19.4
2019,1,6,14,30,816,0,39.52,18.7
2019,1,6,15,0,758,0,46.06,18.1
2019,1,6,15,30,671,0,46.06,18.1
2019,1,6,16,0,479,0,54.92,15.1
2019,1,6,16,30,157,0,57.87,14.3
2019,1,6,17,0,0,0,57.58,13.6
2019,1,6,17,30,0,0,60.66,12.8
2019,1,6,18,0,0,0,64.71,12
2019,1,6,18,30,0,0,67.31,11.4
2019,1,6,19,0,0,0,71.27,10.7
2019,1,6,19,30,0,0,73.68,10.2
2019,1,6,20,0,0,0,76.44,9.7
2019,1,6,20,30,0,0,78.52,9.3
2019,1,6,21,0,0,0,79.46,9
2019,1,6,21,30,0,0,81.09,8.7
2019,1,6,22,0,0,0,81.89,8.4
2019,1,6,22,30,0,0,83.57,8.1
2019,1,6,23,0,0,0,84.15,7.8
2019,1,6,23,30,0,0,85.3,7.6
2019,1,7,0,0,0,0,84.23,7.4
2019,1,7,0,30,0,0,84.81,7.3
2019,1,7,1,0,0,0,81.88,7.1
2019,1,7,1,30,0,0,81.88,7.1
2019,1,7,2,0,0,0,77.39,7
2019,1,7,2,30,0,0,77.39,7
2019,1,7,3,0,0,0,73.61,7
2019,1,7,3,30,0,0,73.18,7.1
2019,1,7,4,0,0,0,71.38,7.2
2019,1,7,4,30,0,0,71.87,7.1
2019,1,7,5,0,0,0,72.04,7
2019,1,7,5,30,0,0,72.04,7
2019,1,7,6,0,0,0,71.4,6.9
2019,1,7,6,30,0,0,66.31,8
2019,1,7,7,0,231,0,64.04,9
2019,1,7,7,30,526,0,56.03,11
2019,1,7,8,0,595,0,49.58,12.9
2019,1,7,8,30,319,3,45.57,14.2
2019,1,7,9,0,2,3,44.19,15.4
2019,1,7,9,30,13,3,41.73,16.3
2019,1,7,10,0,5,3,40.78,17.2
2019,1,7,10,30,33,3,39.48,17.7
2019,1,7,11,0,49,3,39.09,18.3
2019,1,7,11,30,66,3,38.32,18.6
2019,1,7,12,0,166,3,38.69,18.9
2019,1,7,12,30,659,0,38.42,19
2019,1,7,13,0,905,0,39.19,19.1
2019,1,7,13,30,887,0,39.68,18.9
2019,1,7,14,0,863,0,40.92,18.7
2019,1,7,14,30,825,0,42.48,18.1
2019,1,7,15,0,769,0,46.35,17.5
2019,1,7,15,30,684,0,46.35,17.5
2019,1,7,16,0,551,0,57.48,14.5
2019,1,7,16,30,278,0,58.98,14.1
2019,1,7,17,0,0,0,58.1,13.7
2019,1,7,17,30,0,0,59.3,13.4
2019,1,7,18,0,0,0,60.85,13.1
2019,1,7,18,30,0,0,64.11,12.3
2019,1,7,19,0,0,0,68.12,11.5
2019,1,7,19,30,0,0,71.82,10.7
2019,1,7,20,0,0,0,76.2,9.9
2019,1,7,20,30,0,0,78.27,9.5
2019,1,7,21,0,0,0,80.64,9.1
2019,1,7,21,30,0,0,81.73,8.9
2019,1,7,22,0,0,0,83.59,8.6
2019,1,7,22,30,0,0,84.08,8.5
2019,1,7,23,0,0,0,85.59,8.3
2019,1,7,23,30,0,0,86.75,8.1
2019,1,8,0,0,0,0,88.47,7.9
