Year,Month,Day,Hour,Minute,DNI,Cloud Type,Relative Humidity,Temperature,Pressure
2010,1,1,0,30,0,0,93.52,22,1010
2010,1,1,1,30,0,0,99.62,21,1010
2010,1,1,2,30,0,0,99.87,21,1010
2010,1,1,3,30,0,0,99.91,21,1010
2010,1,1,4,30,0,0,100,21,1010
2010,1,1,5,30,0,0,100,21,1010
2010,1,1,6,30,0,0,100,21,1010
2010,1,1,7,30,431,0,96.31,22,1010
2010,1,1,8,30,675,0,80.76,25,1010
2010,1,1,9,30,145,3,74.03,26,1010
2010,1,1,10,30,168,3,68.02,27,1010
2010,1,1,11,30,113,2,67.62,27,1010
2010,1,1,12,30,832,1,67.22,27,1010
2010,1,1,13,30,323,8,70.41,26,1010
2010,1,1,14,30,54,8,74.13,25,1010
2010,1,1,15,30,208,2,77.95,24,1010
2010,1,1,16,30,317,2,81.14,23,1010
2010,1,1,17,30,0,3,83.69,22,1010
2010,1,1,18,30,0,0,80.93,22,1010
2010,1,1,19,30,0,0,83.19,21,1010
2010,1,1,20,30,0,0,80.79,21,1010
2010,1,1,21,30,0,0,78.79,21,1010
2010,1,1,22,30,0,0,77.06,21,1010
2010,1,1,23,30,0,7,80.27,20,1010
2010,1,2,0,30,0,0,78.71,20,1010
2010,1,2,1,30,0,0,77.42,20,1010
2010,1,2,2,30,0,0,76.27,20,1010
2010,1,2,3,30,0,0,75.42,20,1010
2010,1,2,4,30,0,0,74.86,20,1010
2010,1,2,5,30,0,1,79.43,19,1010
2010,1,2,6,30,0,0,79.26,19,1010
2010,1,2,7,30,302,0,74.15,20,1010
2010,1,2,8,30,572,0,67.28,21,1010
2010,1,2,9,30,247,3,61.65,22,1010
2010,1,2,10,30,249,2,57.4,23,1010
2010,1,2,11,30,179,2,53.61,24,1010
2010,1,2,12,30,123,2,53.29,24,1010
2010,1,2,13,30,55,3,53.33,24,1010
2010,1,2,14,30,217,2,53.66,24,1010
2010,1,2,15,30,654,0,57.34,23,1010
2010,1,2,16,30,414,0,61.46,22,1010
2010,1,2,17,30,0,0,66.12,21,1010
2010,1,2,18,30,0,2,71.46,20,1010
2010,1,2,19,30,0,3,72.46,20,1010
2010,1,2,20,30,0,3,73.38,20,1010
2010,1,2,21,30,0,3,79.23,19,1010
2010,1,2,22,30,0,1,79.68,19,1010
2010,1,2,23,30,0,3,79.88,19,1010
2010,1,3,0,30,0,3,80.25,19,1010
2010,1,3,1,30,0,7,86.09,18,1010
2010,1,3,2,30,0,7,87.29,18,1010
2010,1,3,3,30,0,4,87.47,18,1010
2010,1,3,4,30,0,7,87.69,18,1010
2010,1,3,5,30,0,4,88.24,18,1010
2010,1,3,6,30,0,8,88.74,18,1010
2010,1,3,7,30,0,4,82.91,19,1010
2010,1,3,8,30,0,4,76.28,20,1010
2010,1,3,9,30,3,8,69.43,21,1010
2010,1,3,10,30,43,8,63.34,22,1010
2010,1,3,11,30,186,8,58.83,23,1010
2010,1,3,12,30,185,7,58.67,23,1010
2010,1,3,13,30,38,8,59.05,23,1010
2010,1,3,14,30,0,8,59.92,23,1010
2010,1,3,15,30,61,8,64.94,22,1010
2010,1,3,16,30,0,8,70.64,21,1010
2010,1,3,17,30,0,8,77.45,20,1010
2010,1,3,18,30,0,4,79.48,20,1010
2010,1,3,19,30,0,8,81.03,20,1010
2010,1,3,20,30,0,8,87.54,19,1010
2010,1,3,21,30,0,4,88.58,19,1010
2010,1,3,22,30,0,4,95.24,18,1010
2010,1,3,23,30,0,4,95.91,18,1010
2010,1,4,0,30,0,4,95.84,18,1010
2010,1,4,1,30,0,8,95.63,18,1010
2010,1,4,2,30,0,4,100,17,1010
2010,1,4,3,30,0,4,100,17,1010
2010,1,4,4,30,0,7,100,17,1010
2010,1,4,5,30,0,4,100,17,1010
2010,1,4,6,30,0,8,100,17,1010
2010,1,4,7,30,0,4,94.37,18,1010
2010,1,4,8,30,0,4,82.76,20,1010
2010,1,4,9,30,31,4,74.09,21,1010
2010,1,4,10,30,0,2,67.14,22,1010
2010,1,4,11,30,252,7,62.23,23,1010
2010,1,4,12,30,233,2,58.31,24,1010
2010,1,4,13,30,0,8,58.49,24,1010
2010,1,4,14,30,2,8,58.99,24,1010
2010,1,4,15,30,752,0,63.58,23,1010
2010,1,4,16,30,543,0,68.59,22,1010
2010,1,4,17,30,0,3,74.31,21,1010
2010,1,4,18,30,0,3,80.74,20,1010
2010,1,4,19,30,0,7,82.12,20,1010
2010,1,4,20,30,0,1,88.44,19,1010
2010,1,4,21,30,0,7,89.04,19,1010
2010,1,4,22,30,0,1,89.26,19,1010
2010,1,4,23,30,0,1,89.19,19,1010
2010,1,5,0,30,0,1,88.49,19,1010
