Year,Month,Day,Hour,Minute,GHI,Wind Speed,Relative Humidity,Temperature,Pressure
2019,1,3,1,30,0,1.4,34.16,4,1022
2019,1,3,2,0,0,1.4,36.1,3.5,1022
2019,1,3,2,30,0,1.4,36.87,3.2,1022
2019,1,3,3,0,0,1.4,38.38,2.9,1022
2019,1,3,3,30,0,1.4,39.2,2.6,1022
2019,1,3,4,0,0,1.3,40.07,2.4,1022
2019,1,3,4,30,0,1.3,40.97,2.1,1023
2019,1,3,5,0,0,1.4,42.09,1.9,1023
2019,1,3,5,30,0,1.4,42.39,1.8,1023
2019,1,3,6,0,0,1.4,43.67,1.6,1023
2019,1,3,6,30,0,1.3,41,2.5,1024
2019,1,3,7,0,23,1.2,45.22,3.3,1024
2019,1,3,7,30,90,1.9,39.05,5.4,1024
2019,1,3,8,0,187,2.5,32.44,7.5,1025
2019,1,3,8,30,301,2.7,29.5,8.9,1025
2019,1,3,9,0,389,2.8,25.05,10.2,1024
2019,1,3,9,30,465,2.8,22.98,11.5,1024
2019,1,3,10,0,528,2.9,20.64,12.8,1023
2019,1,3,10,30,578,2.9,19.59,13.6,1023
2019,1,3,11,0,612,2.9,18.24,14.5,1022
2019,1,3,11,30,630,2.9,17.65,15,1021
2019,1,3,12,0,631,2.9,16.82,15.5,1021
2019,1,3,12,30,614,2.9,16.59,15.7,1020
2019,1,3,13,0,581,2.8,16.1,15.9,1020
2019,1,3,13,30,532,2.6,16.18,15.8,1019
2019,1,3,14,0,469,2.4,16.24,15.7,1019
2019,1,3,14,30,394,1.8,17.21,14.8,1019
2019,1,3,15,0,307,1.2,27.29,14,1019
2019,1,3,15,30,214,1.2,27.29,14,1019
2019,1,3,16,0,119,1,30.44,10.8,1019
2019,1,3,16,30,37,1,31.89,10.1,1019
2019,1,3,17,0,0,1.1,28.04,9.5,1019
2019,1,3,17,30,0,1.2,29.81,8.6,1020
2019,1,3,18,0,0,1.3,32.16,7.7,1020
2019,1,3,18,30,0,1.4,33.73,7,1020
2019,1,3,19,0,0,1.5,36.04,6.2,1020
2019,1,3,19,30,0,1.5,36.79,5.9,1020
2019,1,3,20,0,0,1.5,37.27,5.5,1020
2019,1,3,20,30,0,1.5,37.53,5.4,1020
2019,1,3,21,0,0,1.6,37.07,5.3,1020
2019,1,3,21,30,0,1.6,37.07,5.3,1020
2019,1,3,22,0,0,1.6,36.56,5.2,1019
2019,1,3,22,30,0,1.6,36.82,5.1,1019
2019,1,3,23,0,0,1.5,36.76,4.9,1019
2019,1,3,23,30,0,1.5,37.24,4.7,1018
2019,1,4,0,0,0,1.5,37.69,4.4,1018
2019,1,4,0,30,0,1.5,37.43,4.5,1018
2019,1,4,1,0,0,1.5,37.11,4.5,1018
2019,1,4,1,30,0,1.4,36.59,4.7,1018
2019,1,4,2,0,0,1.3,36.06,4.8,1018
2019,1,4,2,30,0,1.3,36.06,4.8,1018
2019,1,4,3,0,0,1.2,36.32,4.7,1018
2019,1,4,3,30,0,1.2,36.83,4.5,1018
2019,1,4,4,0,0,1.2,37.46,4.3,1018
2019,1,4,4,30,0,1.2,37.99,4.1,1018
2019,1,4,5,0,0,1.2,39.64,3.9,1018
2019,1,4,5,30,0,1.2,40.2,3.7,1018
2019,1,4,6,0,0,1.2,42.06,3.5,1018
2019,1,4,6,30,0,1.1,40.65,4,1019
2019,1,4,7,0,22,1,44.99,4.5,1019
2019,1,4,7,30,76,1.4,39.44,6.4,1019
2019,1,4,8,0,171,1.8,36.5,8.4,1019
2019,1,4,8,30,300,1.8,33.67,9.6,1019
2019,1,4,9,0,388,1.8,28.59,10.9,1019
2019,1,4,9,30,461,1.7,26.59,12,1019
2019,1,4,10,0,523,1.5,24.87,13.1,1018
2019,1,4,10,30,574,1.5,23.31,14.1,1018
2019,1,4,11,0,609,1.4,21.91,15.1,1017
2019,1,4,11,30,627,1.5,20.8,15.9,1016
2019,1,4,12,0,628,1.6,19.99,16.7,1016
2019,1,4,12,30,610,1.7,19.6,17,1015
2019,1,4,13,0,575,1.8,19.49,17.4,1015
2019,1,4,13,30,526,1.7,19.49,17.4,1015
2019,1,4,14,0,464,1.7,20.17,17.3,1014
2019,1,4,14,30,387,1.2,21.35,16.4,1014
2019,1,4,15,0,299,0.8,34.29,15.4,1014
2019,1,4,15,30,207,0.8,34.29,15.4,1014
2019,1,4,16,0,115,0.8,32.37,12.9,1015
2019,1,4,16,30,35,0.5,32.8,12.7,1015
2019,1,4,17,0,0,0.2,30.49,12.5,1015
2019,1,4,17,30,0,0.4,31.72,11.9,1015
2019,1,4,18,0,0,0.6,32.86,11.3,1015
2019,1,4,18,30,0,0.8,34.2,10.7,1015
2019,1,4,19,0,0,0.9,35.18,10,1015
2019,1,4,19,30,0,1,35.41,9.9,1015
2019,1,4,20,0,0,1,34.52,9.9,1015
2019,1,4,20,30,0,0.9,34.07,10.1,1015
2019,1,4,21,0,0,0.8,33.82,10.4,1015
2019,1,4,21,30,0,0.7,33.82,10.4,1015
2019,1,4,22,0,0,0.6,32.07,10.4,1015
2019,1,4,22,30,0,0.6,32.5,10.2,1015
2019,1,4,23,0,0,0.6,32.95,9.9,1014
2019,1,4,23,30,0,0.5,33.61,9.6,1014
2019,1,5,0,0,0,0.5,33.76,9.4,1014
2019,1,5,0,30,0,0.5,34.22,9.2,1014
2019,1,5,1,0,0,0.5,35.1,9,1014
2019,1,5,1,30,0,0.5,35.57,8.8,1014
2019,1,5,2,0,0,0.4,37.14,8.6,1014
2019,1,5,2,30,0,0.4,37.61,8.4,1013
2019,1,5,3,0,0,0.3,38.91,8.3,1013
2019,1,5,3,30,0,0.3,39.17,8.2,1013
2019,1,5,4,0,0,0.2,40.11,8.1,1013
2019,1,5,4,30,0,0.3,40.11,8.1,1013
2019,1,5,5,0,0,0.4,41.36,8.2,1014
2019,1,5,5,30,0,0.3,41.36,8.2,1014
2019,1,5,6,0,0,0.3,43.48,8.2,1014
2019,1,5,6,30,0,0.3,42.9,8.4,1014
2019,1,5,7,0,9,0.3,46.72,8.5,1014
2019,1,5,7,30,18,0.3,45.22,9,1015
2019,1,5,8,0,20,0.3,49.66,9.5,1015
2019,1,5,8,30,33,0.4,47.08,10.3,1015
2019,1,5,9,0,91,0.5,47.59,11.2,1015
2019,1,5,9,30,75,0.8,44.86,12.1,1015
2019,1,5,10,0,122,1.2,42.67,12.9,1015
2019,1,5,10,30,126,1.5,40.47,13.7,1014
2019,1,5,11,0,107,1.9,41.44,14.4,1014
2019,1,5,11,30,96,1.6,40.65,14.7,1014
2019,1,5,12,0,89,1.3,45.57,15,1013
2019,1,5,12,30,125,0.9,45.57,15,1013
2019,1,5,13,0,113,0.5,52.28,15.1,1013
2019,1,5,13,30,98,0.3,53.29,14.8,1013
2019,1,5,14,0,129,0.2,57.94,14.6,1012
2019,1,5,14,30,98,0.2,59.51,14.2,1013
2019,1,5,15,0,61,0.1,59.85,13.7,1013
2019,1,5,15,30,52,0.1,59.85,13.7,1013
2019,1,5,16,0,30,0.3,60.4,12.7,1013
2019,1,5,16,30,11,0.3,62,12.3,1013
2019,1,5,17,0,0,0.4,62.48,11.9,1013
2019,1,5,17,30,0,0.4,63.31,11.7,1013
2019,1,5,18,0,0,0.4,64.74,11.4,1013
2019,1,5,18,30,0,0.4,66.1,11.1,1014
2019,1,5,19,0,0,0.4,67.61,10.9,1014
2019,1,5,19,30,0,0.3,68.97,10.6,1014
2019,1,5,20,0,0,0.3,71.67,10.3,1014
2019,1,5,20,30,0,0.2,73.12,10,1014
2019,1,5,21,0,0,0.2,75.19,9.8,1014
2019,1,5,21,30,0,0.2,76.72,9.5,1014
2019,1,5,22,0,0,0.2,78.16,9.3,1014
2019,1,5,22,30,0,0.2,78.16,9.3,1014
2019,1,5,23,0,0,0.2,78.77,9.2,1014
2019,1,5,23,30,0,0.2,79.3,9.1,1014
2019,1,6,0,0,0,0.3,79.31,9,1013
2019,1,6,0,30,0,0.3,79.84,8.9,1013
2019,1,6,1,0,0,0.3,79.2,8.8,1013
2019,1,6,1,30,0,0.4,79.2,8.8,1013
2019,1,6,2,0,0,0.4,77.71,8.8,1013
2019,1,6,2,30,0,0.5,77.71,8.8,1013
2019,1,6,3,0,0,0.5,77.46,8.8,1013
2019,1,6,3,30,0,0.6,78.51,8.6,1013
2019,1,6,4,0,0,0.7,81.14,8.3,1014
2019,1,6,4,30,0,0.8,81.14,8.3,1014
2019,1,6,5,0,0,0.9,81.96,8.3,1014
2019,1,6,5,30,0,1,82.52,8.2,1014
2019,1,6,6,0,0,1.1,85.18,8,1015
2019,1,6,6,30,0,1.2,80.15,8.9,1015
2019,1,6,7,0,25,1.2,81.53,9.7,1015
2019,1,6,7,30,94,1.8,72.9,11.4,1016
2019,1,6,8,0,154,2.3,70.74,13.1,1016
2019,1,6,8,30,289,2.7,65.52,14.3,1017
2019,1,6,9,0,373,3.1,59.45,15.5,1017
2019,1,6,9,30,447,3.1,55.43,16.6,1017
2019,1,6,10,0,510,3.1,48.45,17.6,1017
2019,1,6,10,30,559,2.8,46.03,18.4,1016
2019,1,6,11,0,463,2.6,40.91,19.2,1016
2019,1,6,11,30,531,2.5,39.87,19.6,1015
2019,1,6,12,0,531,2.4,36.85,20,1015
2019,1,6,12,30,567,2.4,36.62,20.1,1015
2019,1,6,13,0,563,2.5,35.25,20.2,1015
2019,1,6,13,30,517,2.3,35.46,20.1,1015
2019,1,6,14,0,456,2.1,35.56,19.9,1015
2019,1,6,14,30,383,1.6,37.17,19.2,1016
2019,1,6,15,0,300,1.1,44.14,18.5,1016
