Year,Month,Day,Hour,Minute,DNI,Relative Humidity,Temperature,Pressure
2013,1,1,0,30,0,49.55,6,1020
2013,1,1,1,30,0,50.39,7,1020
2013,1,1,2,30,0,54.38,6,1020
2013,1,1,3,30,0,54.71,6,1020
2013,1,1,4,30,0,59.06,5,1020
2013,1,1,5,30,0,61.58,4,1020
2013,1,1,6,30,0,59.3,4,1020
2013,1,1,7,30,434,55.61,5,1020
2013,1,1,8,30,176,45.84,7,1020
2013,1,1,9,30,813,39.24,9,1020
2013,1,1,10,30,598,33.33,11,1020
2013,1,1,11,30,382,30.88,12,1020
2013,1,1,12,30,335,28.23,13,1020
2013,1,1,13,30,352,27.32,13,1020
2013,1,1,14,30,0,26.62,12,1020
2013,1,1,15,30,202,36.37,11,1020
2013,1,1,16,30,0,45.45,9,1020
2013,1,1,17,30,0,45.66,7,1020
2013,1,1,18,30,0,48.31,6,1020
2013,1,1,19,30,0,49.77,5,1020
2013,1,1,20,30,0,47.91,5,1020
2013,1,1,21,30,0,50.22,4,1020
2013,1,1,22,30,0,49.78,3,1020
2013,1,1,23,30,0,53.3,3,1010
2013,1,2,0,30,0,53.34,3,1010
2013,1,2,1,30,0,53.56,2,1010
2013,1,2,2,30,0,58.17,2,1010
2013,1,2,3,30,0,58.84,2,1010
2013,1,2,4,30,0,59.17,2,1010
2013,1,2,5,30,0,59.1,2,1010
2013,1,2,6,30,0,54.64,3,1010
2013,1,2,7,30,510,47.03,6,1010
2013,1,2,8,30,765,36.94,9,1020
2013,1,2,9,30,867,26.31,11,1020
2013,1,2,10,30,902,23,13,1010
2013,1,2,11,30,901,20.5,14,1010
2013,1,2,12,30,876,18.61,15,1010
2013,1,2,13,30,830,17.03,15,1010
2013,1,2,14,30,745,18,14,1010
2013,1,2,15,30,577,30.14,12,1010
2013,1,2,16,30,152,39.52,9,1010
2013,1,2,17,30,0,37.94,7,1010
2013,1,2,18,30,0,39.82,7,1010
2013,1,2,19,30,0,42.1,6,1010
2013,1,2,20,30,0,42.13,6,1010
2013,1,2,21,30,0,45.12,5,1010
2013,1,2,22,30,0,45.12,5,1010
2013,1,2,23,30,0,48.57,4,1010
2013,1,3,0,30,0,48.58,4,1010
2013,1,3,1,30,0,48.43,4,1010
2013,1,3,2,30,0,48.47,4,1010
2013,1,3,3,30,0,48.74,4,1010
2013,1,3,4,30,0,49.07,3,1010
2013,1,3,5,30,0,52.92,3,1010
2013,1,3,6,30,0,49.37,4,1010
2013,1,3,7,30,502,43.07,7,1010
2013,1,3,8,30,764,32.92,10,1020
2013,1,3,9,30,874,26.83,13,1020
2013,1,3,10,30,922,22.03,15,1020
2013,1,3,11,30,942,19.4,16,1010
2013,1,3,12,30,937,16.66,17,1010
2013,1,3,13,30,936,15.19,17,1010
2013,1,3,14,30,868,15.21,16,1010
2013,1,3,15,30,718,29.13,13,1010
2013,1,3,16,30,281,33.97,10,1010
2013,1,3,17,30,0,30.87,9,1010
2013,1,3,18,30,0,29.24,8,1010
2013,1,3,19,30,0,30.62,7,1020
2013,1,3,20,30,0,34.95,6,1020
2013,1,3,21,30,0,38.04,5,1020
2013,1,3,22,30,0,41.41,4,1020
2013,1,3,23,30,0,44.99,3,1020
2013,1,4,0,30,0,45.67,3,1020
2013,1,4,1,30,0,46.32,2,1020
2013,1,4,2,30,0,50.48,2,1020
2013,1,4,3,30,0,51.21,2,1020
2013,1,4,4,30,0,51.59,2,1020
2013,1,4,5,30,0,51.78,2,1020
2013,1,4,6,30,0,48.32,3,1020
2013,1,4,7,30,470,43.72,6,1020
2013,1,4,8,30,729,32.56,9,1020
2013,1,4,9,30,841,28.64,12,1020
2013,1,4,10,30,873,27.18,14,1020
2013,1,4,11,30,896,25.63,15,1020
2013,1,4,12,30,893,23.53,16,1020
2013,1,4,13,30,909,23.01,16,1020
2013,1,4,14,30,839,24.22,15,1020
2013,1,4,15,30,687,39.67,13,1020
2013,1,4,16,30,280,40.96,11,1020
2013,1,4,17,30,0,39.02,10,1020
2013,1,4,18,30,0,38.33,9,1020
2013,1,4,19,30,0,40.75,8,1020
2013,1,4,20,30,0,43.31,7,1020
2013,1,4,21,30,0,45.9,6,1020
2013,1,4,22,30,0,48.52,6,1020
2013,1,4,23,30,0,47.66,6,1020
2013,1,5,0,30,0,46.58,6,1020
2013,1,5,1,30,0,48.49,5,1020
2013,1,5,2,30,0,46.92,4,1020
2013,1,5,3,30,0,49.13,4,1020
2013,1,5,4,30,0,51.64,3,1020
2013,1,5,5,30,0,50.73,2,1020
2013,1,5,6,30,0,50.33,3,1020
2013,1,5,7,30,444,44.96,5,1020
2013,1,5,8,30,708,35.54,8,1020
2013,1,5,9,30,825,28.88,11,1020
2013,1,5,10,30,916,23.49,13,1020
2013,1,5,11,30,937,21.87,15,1020
2013,1,5,12,30,932,20.48,16,1020
2013,1,5,13,30,909,19.12,16,1020
2013,1,5,14,30,840,20.27,15,1020
2013,1,5,15,30,691,36.53,13,1020
2013,1,5,16,30,287,35.8,11,1020
2013,1,5,17,30,0,32.93,10,1020
2013,1,5,18,30,0,34.87,9,1020
2013,1,5,19,30,0,38.32,8,1020
