Year,Month,Day,Hour,Minute,DNI,Relative Humidity,Temperature,Pressure
2007,1,1,0,30,0,67.18,9,1010
2007,1,1,1,30,0,72.72,8,1010
2007,1,1,2,30,0,72.92,7,1010
2007,1,1,3,30,0,78.47,7,1010
2007,1,1,4,30,0,85.4,6,1010
2007,1,1,5,30,0,86.63,6,1010
2007,1,1,6,30,0,79.66,7,1010
2007,1,1,7,30,466,68.43,9,1010
2007,1,1,8,30,716,54.08,12,1010
2007,1,1,9,30,825,42.83,14,1010
2007,1,1,10,30,881,34.71,16,1010
2007,1,1,11,30,903,30.89,17,1010
2007,1,1,12,30,900,27.72,18,1010
2007,1,1,13,30,894,24.66,18,1010
2007,1,1,14,30,826,24.39,17,1010
2007,1,1,15,30,672,29.67,15,1010
2007,1,1,16,30,232,36.66,12,1010
2007,1,1,17,30,0,38.82,10,1010
2007,1,1,18,30,0,37.56,9,1010
2007,1,1,19,30,0,38.93,9,1010
2007,1,1,20,30,0,37.98,9,1010
2007,1,1,21,30,0,37.8,9,1010
2007,1,1,22,30,0,39,9,1010
2007,1,1,23,30,0,38.13,9,1010
2007,1,2,0,30,0,42.44,9,1010
2007,1,2,1,30,0,43.11,9,1010
2007,1,2,2,30,0,43.09,8,1010
2007,1,2,3,30,0,45.65,8,1010
2007,1,2,4,30,0,44.84,7,1010
2007,1,2,5,30,0,46.98,7,1010
2007,1,2,6,30,0,42.87,8,1010
2007,1,2,7,30,470,34.84,11,1010
2007,1,2,8,30,726,28.15,14,1010
2007,1,2,9,30,827,21.97,16,1010
2007,1,2,10,30,855,19.67,18,1010
2007,1,2,11,30,860,16.67,19,1010
2007,1,2,12,30,842,15.01,20,1010
2007,1,2,13,30,826,14.47,21,1010
2007,1,2,14,30,727,15,20,1010
2007,1,2,15,30,534,22.01,17,1010
2007,1,2,16,30,97,26.85,14,1010
2007,1,2,17,30,0,24.44,13,1010
2007,1,2,18,30,0,25.31,13,1010
2007,1,2,19,30,0,25.07,13,1010
2007,1,2,20,30,0,24.58,12,1010
2007,1,2,21,30,0,25.9,11,1010
2007,1,2,22,30,0,27.49,10,1010
2007,1,2,23,30,0,27.35,10,1010
2007,1,3,0,30,0,27.18,10,1010
2007,1,3,1,30,0,27.01,11,1010
2007,1,3,2,30,0,26.86,11,1010
2007,1,3,3,30,0,26.65,11,1010
2007,1,3,4,30,0,26.54,11,1010
2007,1,3,5,30,0,26.53,11,1010
2007,1,3,6,30,0,25.31,12,1010
2007,1,3,7,30,0,23.44,14,1010
2007,1,3,8,30,84,24.71,16,1010
2007,1,3,9,30,267,17.2,19,1010
2007,1,3,10,30,885,14.16,21,1010
2007,1,3,11,30,907,12.41,22,1010
2007,1,3,12,30,906,11.79,23,1010
2007,1,3,13,30,897,11.99,24,1010
2007,1,3,14,30,831,13.17,22,1010
2007,1,3,15,30,684,22.35,19,1010
2007,1,3,16,30,289,24.44,17,1010
2007,1,3,17,30,0,25.55,15,1010
2007,1,3,18,30,0,30.39,13,1010
2007,1,3,19,30,0,34.08,11,1010
2007,1,3,20,30,0,39.48,11,1010
2007,1,3,21,30,0,42.09,11,1010
2007,1,3,22,30,0,43.54,10,1010
2007,1,3,23,30,0,47.04,10,1010
2007,1,4,0,30,0,46.61,9,1010
2007,1,4,1,30,0,48.41,9,1010
2007,1,4,2,30,0,47.06,9,1010
2007,1,4,3,30,0,46.3,9,1010
