Year,Month,Day,Hour,Minute,DNI,Cloud Type,Relative Humidity,Temperature,Pressure
2002,1,1,0,30,0,0,100,19,1010
2002,1,1,1,30,0,0,100,19,1010
2002,1,1,2,30,0,1,100,19,1010
2002,1,1,3,30,0,0,100,18,1010
2002,1,1,4,30,0,7,100,18,1010
2002,1,1,5,30,0,7,100,18,1010
2002,1,1,6,30,0,7,100,18,1010
2002,1,1,7,30,86,3,95.8,20,1010
2002,1,1,8,30,391,3,78.66,23,1010
2002,1,1,9,30,381,3,67.5,25,1010
2002,1,1,10,30,356,3,63.52,26,1010
2002,1,1,11,30,422,7,58.83,27,1010
2002,1,1,12,30,21,3,54.34,28,1010
2002,1,1,13,30,287,8,53.87,28,1010
2002,1,1,14,30,486,8,53.84,28,1010
2002,1,1,15,30,320,8,58.97,27,1010
2002,1,1,16,30,415,2,68.36,26,1010
2002,1,1,17,30,0,7,78.75,25,1010
2002,1,1,18,30,0,7,77.24,25,1010
2002,1,1,19,30,0,7,80.72,24,1010
2002,1,1,20,30,0,7,86.02,23,1010
2002,1,1,21,30,0,7,86.37,23,1010
2002,1,1,22,30,0,7,91.28,22,1010
2002,1,1,23,30,0,7,88.83,22,1010
2002,1,2,0,30,0,7,89.63,22,1010
2002,1,2,1,30,0,8,96.31,21,1010
2002,1,2,2,30,0,7,97.35,21,1010
2002,1,2,3,30,0,8,98.05,21,1010
2002,1,2,4,30,0,7,98.35,21,1010
2002,1,2,5,30,0,8,98.58,21,1010
2002,1,2,6,30,0,8,98.54,21,1010
2002,1,2,7,30,125,3,92.64,22,1010
2002,1,2,8,30,204,8,92.15,23,1010
2002,1,2,9,30,400,8,84.8,24,1010
2002,1,2,10,30,61,8,77.35,24,1010
2002,1,2,11,30,424,8,70.97,25,1010
2002,1,2,12,30,251,8,69.24,25,1010
2002,1,2,13,30,179,7,71.89,24,1010
2002,1,2,14,30,35,7,74.89,23,1010
2002,1,2,15,30,122,8,77.99,22,1010
2002,1,2,16,30,111,7,81.66,21,1010
2002,1,2,17,30,0,7,81.03,21,1010
2002,1,2,18,30,0,7,85.57,20,1010
2002,1,2,19,30,0,7,84.92,20,1010
2002,1,2,20,30,0,7,84.46,20,1010
2002,1,2,21,30,0,7,89.44,19,1010
2002,1,2,22,30,0,7,89.09,19,1010
2002,1,2,23,30,0,7,88.41,19,1010
2002,1,3,0,30,0,0,87.18,19,1010
2002,1,3,1,30,0,7,91.33,18,1010
2002,1,3,2,30,0,7,90.08,18,1010
2002,1,3,3,30,0,7,89.34,18,1010
2002,1,3,4,30,0,1,88.93,18,1010
2002,1,3,5,30,0,3,88.09,18,1020
2002,1,3,6,30,0,3,86.5,18,1020
2002,1,3,7,30,116,2,80.63,19,1020
2002,1,3,8,30,93,3,73.65,20,1020
2002,1,3,9,30,682,0,65.01,21,1020
2002,1,3,10,30,15,3,63.13,21,1020
2002,1,3,11,30,11,3,62.69,21,1020
2002,1,3,12,30,4,3,66.3,20,1020
2002,1,3,13,30,7,3,66.04,20,1020
2002,1,3,14,30,0,3,65.85,20,1020
2002,1,3,15,30,0,3,70.14,19,1020
2002,1,3,16,30,278,0,70.37,19,1020
2002,1,3,17,30,0,3,70.53,19,1020
2002,1,3,18,30,0,3,75.13,18,1020
2002,1,3,19,30,0,3,75.02,18,1020
2002,1,3,20,30,0,3,74.88,18,1020
2002,1,3,21,30,0,3,79.54,18,1020
2002,1,3,22,30,0,3,78.79,17,1020
2002,1,3,23,30,0,3,78.59,17,1020
2002,1,4,0,30,0,3,77.75,17,1020
2002,1,4,1,30,0,3,81.82,16,1020
2002,1,4,2,30,0,3,81.38,16,1020
2002,1,4,3,30,0,3,80.59,16,1020
2002,1,4,4,30,0,3,79.92,16,1020
2002,1,4,5,30,0,3,79.36,16,1020
2002,1,4,6,30,0,0,78.81,16,1020
2002,1,4,7,30,457,0,69.41,18,1020
2002,1,4,8,30,716,0,61.9,19,1020
2002,1,4,9,30,836,0,55.7,20,1020
2002,1,4,10,30,245,2,52.01,21,1020
2002,1,4,11,30,10,3,48.76,22,1020
2002,1,4,12,30,344,2,45.66,23,1020
2002,1,4,13,30,932,0,45.26,23,1010
2002,1,4,14,30,884,0,45.03,23,1010
2002,1,4,15,30,788,0,45.04,23,1010
2002,1,4,16,30,577,0,48.88,22,1010
2002,1,4,17,30,0,0,59.45,20,1010
2002,1,4,18,30,0,7,64.48,19,1020
2002,1,4,19,30,0,3,68.95,18,1020
2002,1,4,20,30,0,1,69.41,18,1020
2002,1,4,21,30,0,0,74.14,17,1020
2002,1,4,22,30,0,3,79.58,16,1020
2002,1,4,23,30,0,4,80.44,16,1020
2002,1,5,0,30,0,0,86.12,15,1010
2002,1,5,1,30,0,7,86.08,15,1010
2002,1,5,2,30,0,7,85.96,15,1010
2002,1,5,3,30,0,7,85.99,15,1010
2002,1,5,4,30,0,7,91.97,14,1010
2002,1,5,5,30,0,7,92.29,14,1010
2002,1,5,6,30,0,7,87.09,15,1010
2002,1,5,7,30,368,7,77.89,17,1010
2002,1,5,8,30,287,8,70.57,19,1010
2002,1,5,9,30,820,1,62.22,22,1010
2002,1,5,10,30,464,8,56.94,24,1010
2002,1,5,11,30,517,8,54.64,25,1010
2002,1,5,12,30,599,7,53.05,26,1010
2002,1,5,13,30,862,0,51.49,27,1010
2002,1,5,14,30,804,2,53.14,27,1010
2002,1,5,15,30,694,1,54.14,27,1010
2002,1,5,16,30,472,0,59.13,26,1010
2002,1,5,17,30,0,0,72.09,24,1010
2002,1,5,18,30,0,0,77.36,23,1010
2002,1,5,19,30,0,0,76.85,23,1010
