Year,Month,Day,Hour,Minute,DNI,Cloud Type,Relative Humidity,Temperature,Pressure
2012,1,1,0,30,0,0,53.1,9,1010
2012,1,1,1,30,0,0,51.04,8,1010
2012,1,1,2,30,0,0,52.97,8,1020
2012,1,1,3,30,0,0,55.36,7,1020
2012,1,1,4,30,0,0,54.23,6,1020
2012,1,1,5,30,0,0,57.06,6,1020
2012,1,1,6,30,0,0,52.21,7,1020
2012,1,1,7,30,404,0,45.38,10,1020
2012,1,1,8,30,686,0,32.84,13,1020
2012,1,1,9,30,813,0,26.26,16,1020
2012,1,1,10,30,948,0,22.83,19,1020
2012,1,1,11,30,967,0,20.15,21,1020
2012,1,1,12,30,962,0,18.73,22,1020
2012,1,1,13,30,930,0,17.29,23,1010
2012,1,1,14,30,861,0,20.2,22,1010
2012,1,1,15,30,709,0,35.29,19,1010
2012,1,1,16,30,276,0,29.83,17,1010
2012,1,1,17,30,0,0,30.11,16,1020
2012,1,1,18,30,0,0,31.25,15,1020
2012,1,1,19,30,0,0,32.66,14,1020
2012,1,1,20,30,0,0,33.61,13,1020
2012,1,1,21,30,0,0,35.1,12,1020
2012,1,1,22,30,0,0,36.66,11,1020
2012,1,1,23,30,0,0,38.94,10,1020
2012,1,2,0,30,0,0,38.92,9,1020
2012,1,2,1,30,0,0,41.82,9,1020
2012,1,2,2,30,0,0,44.73,8,1020
2012,1,2,3,30,0,0,44.02,8,1020
2012,1,2,4,30,0,0,43.28,7,1020
2012,1,2,5,30,0,0,46.43,7,1020
2012,1,2,6,30,0,0,44.17,8,1020
2012,1,2,7,30,424,0,37.09,11,1020
2012,1,2,8,30,697,0,30.23,15,1020
2012,1,2,9,30,816,0,24.14,18,1020
2012,1,2,10,30,874,0,20.11,21,1020
2012,1,2,11,30,888,0,18.09,23,1020
2012,1,2,12,30,874,0,17.46,24,1020
2012,1,2,13,30,861,0,17.75,24,1010
2012,1,2,14,30,781,0,28.64,22,1010
2012,1,2,15,30,611,0,41.13,20,1010
2012,1,2,16,30,178,0,34.31,19,1010
2012,1,2,17,30,0,0,34.29,18,1010
2012,1,2,18,30,0,0,35.95,17,1020
2012,1,2,19,30,0,0,36.56,16,1020
2012,1,2,20,30,0,0,37.82,15,1020
2012,1,2,21,30,0,0,39.14,14,1020
2012,1,2,22,30,0,0,38.1,13,1020
2012,1,2,23,30,0,0,39.41,13,1020
2012,1,3,0,30,0,0,38.68,12,1020
2012,1,3,1,30,0,0,40.55,12,1020
2012,1,3,2,30,0,0,42.59,11,1020
2012,1,3,3,30,0,0,42.14,10,1020
2012,1,3,4,30,0,4,45.03,10,1020
2012,1,3,5,30,0,0,45,9,1020
2012,1,3,6,30,0,0,41.89,10,1020
2012,1,3,7,30,430,0,38.07,13,1020
2012,1,3,8,30,190,3,31.23,16,1020
2012,1,3,9,30,32,7,26.02,19,1020
2012,1,3,10,30,885,0,21.84,21,1020
2012,1,3,11,30,908,0,20.91,23,1020
