Year,Month,Day,Hour,Minute,DNI,Relative Humidity,Temperature,Pressure
1998,1,1,0,30,0,56.07,12,1010
1998,1,1,1,30,0,55.53,11,1010
1998,1,1,2,30,0,59.27,10,1010
1998,1,1,3,30,0,63.59,10,1010
1998,1,1,4,30,0,63.5,9,1010
1998,1,1,5,30,0,67.74,9,1010
1998,1,1,6,30,0,67.65,9,1010
1998,1,1,7,30,461,58.89,11,1010
1998,1,1,8,30,715,50.03,14,1010
1998,1,1,9,30,825,44.28,17,1010
1998,1,1,10,30,879,36.67,20,1010
1998,1,1,11,30,899,32.35,21,1010
1998,1,1,12,30,892,30.5,22,1010
1998,1,1,13,30,857,30.7,23,1010
1998,1,1,14,30,780,32.78,22,1010
1998,1,1,15,30,616,49.06,19,1010
1998,1,1,16,30,191,56.89,16,1010
1998,1,1,17,30,0,56.56,15,1010
1998,1,1,18,30,0,56.42,15,1010
1998,1,1,19,30,0,56.52,14,1010
1998,1,1,20,30,0,61.51,14,1010
1998,1,1,21,30,0,63.26,13,1010
1998,1,1,22,30,0,69.81,13,1010
1998,1,1,23,30,0,76.99,12,1010
1998,1,2,0,30,0,83.7,11,1000
1998,1,2,1,30,0,90.75,10,1000
1998,1,2,2,30,0,92.06,10,1000
1998,1,2,3,30,0,93.51,9,1000
1998,1,2,4,30,0,95.26,9,1000
1998,1,2,5,30,0,96.79,9,1000
1998,1,2,6,30,0,97.36,10,1000
1998,1,2,7,30,487,82.84,12,1010
1998,1,2,8,30,731,73.72,16,1010
1998,1,2,9,30,835,65.63,19,1010
1998,1,2,10,30,884,58.38,21,1010
1998,1,2,11,30,903,53.66,22,1000
1998,1,2,12,30,899,49.06,23,1000
1998,1,2,13,30,870,45.03,23,1000
1998,1,2,14,30,804,47.13,22,1000
1998,1,2,15,30,658,60.77,20,1000
1998,1,2,16,30,0,70.58,16,1000
1998,1,2,17,30,0,76.81,14,1000
1998,1,2,18,30,0,87.58,13,1000
1998,1,2,19,30,0,92.29,12,1000
1998,1,2,20,30,0,89.87,11,1000
1998,1,2,21,30,0,93.02,11,1000
1998,1,2,22,30,0,96.61,10,1000
1998,1,2,23,30,0,94.35,10,1000
1998,1,3,0,30,0,99.29,9,1000
1998,1,3,1,30,0,98.02,9,1000
1998,1,3,2,30,0,97.02,9,1000
1998,1,3,3,30,0,96.26,9,1000
1998,1,3,4,30,0,95.74,9,1000
