Year,Month,Day,Hour,Minute,DNI,Relative Humidity,Temperature,Pressure
2002,1,1,0,30,0,87.97,11,1010
2002,1,1,1,30,0,92.55,10,1010
2002,1,1,2,30,0,91.25,10,1010
2002,1,1,3,30,0,96.12,9,1010
2002,1,1,4,30,0,94.63,9,1010
2002,1,1,5,30,0,99.82,8,1010
2002,1,1,6,30,0,91.97,9,1010
2002,1,1,7,30,477,80.09,11,1010
2002,1,1,8,30,721,69.21,13,1010
2002,1,1,9,30,827,54.59,16,1010
2002,1,1,10,30,848,46.3,18,1010
2002,1,1,11,30,870,42.51,19,1010
2002,1,1,12,30,594,39.02,20,1010
2002,1,1,13,30,458,35.24,21,1010
2002,1,1,14,30,429,35.86,20,1010
2002,1,1,15,30,71,40.77,18,1010
2002,1,1,16,30,0,41.82,17,1010
2002,1,1,17,30,0,40.4,17,1010
2002,1,1,18,30,0,42.61,16,1010
2002,1,1,19,30,0,45.38,15,1010
2002,1,1,20,30,0,48.69,14,1010
2002,1,1,21,30,0,52.35,13,1010
2002,1,1,22,30,0,56.38,12,1010
2002,1,1,23,30,0,56.76,12,1010
2002,1,2,0,30,0,56.72,12,1010
2002,1,2,1,30,0,56,12,1010
2002,1,2,2,30,0,58.41,11,1010
2002,1,2,3,30,0,56.79,11,1010
2002,1,2,4,30,0,59.33,10,1010
2002,1,2,5,30,0,58.24,10,1010
2002,1,2,6,30,0,57.47,10,1010
2002,1,2,7,30,17,53.83,11,1010
2002,1,2,8,30,195,47.1,13,1010
2002,1,2,9,30,716,37.95,16,1010
2002,1,2,10,30,888,32.35,18,1010
2002,1,2,11,30,368,27.88,19,1010
2002,1,2,12,30,657,25.64,20,1010
2002,1,2,13,30,487,25.02,21,1010
2002,1,2,14,30,270,26.02,20,1010
2002,1,2,15,30,481,33.17,17,1010
2002,1,2,16,30,0,37.07,15,1010
2002,1,2,17,30,0,35.54,15,1010
2002,1,2,18,30,0,34.8,15,1010
2002,1,2,19,30,0,34.97,14,1010
2002,1,2,20,30,0,38.12,14,1010
2002,1,2,21,30,0,43.19,13,1010
2002,1,2,22,30,0,51.9,12,1010
2002,1,2,23,30,0,59.5,12,1010
2002,1,3,0,30,0,66.06,11,1010
2002,1,3,1,30,0,75.62,11,1010
2002,1,3,2,30,0,79.53,11,1010
2002,1,3,3,30,0,83.35,11,1010
2002,1,3,4,30,0,91.3,10,1010
2002,1,3,5,30,0,91.86,10,1010
2002,1,3,6,30,0,85.6,11,1010
2002,1,3,7,30,5,76.96,13,1010
2002,1,3,8,30,637,65.68,16,1010
2002,1,3,9,30,822,53.05,18,1010
2002,1,3,10,30,496,46.39,20,1010
2002,1,3,11,30,902,41.8,21,1010
2002,1,3,12,30,902,38.17,22,1010
2002,1,3,13,30,874,36.96,22,1010
2002,1,3,14,30,805,37.87,21,1010
2002,1,3,15,30,655,42.5,19,1010
2002,1,3,16,30,230,50.98,16,1010
2002,1,3,17,30,0,57.41,14,1010
2002,1,3,18,30,0,62.57,13,1010
2002,1,3,19,30,0,70.74,12,1010
2002,1,3,20,30,0,76.15,12,1010
2002,1,3,21,30,0,85.13,11,1010
2002,1,3,22,30,0,86.44,11,1010
2002,1,3,23,30,0,92.39,10,1010
2002,1,4,0,30,0,91.37,9,1010
2002,1,4,1,30,0,96.35,9,1010
2002,1,4,2,30,0,94.98,9,1010
2002,1,4,3,30,0,93.73,9,1010
2002,1,4,4,30,0,92.46,9,1010
2002,1,4,5,30,0,91.16,9,1010
2002,1,4,6,30,0,84.05,10,1010
2002,1,4,7,30,458,69.95,13,1020
2002,1,4,8,30,712,58.84,16,1020
2002,1,4,9,30,826,46.49,18,1020
2002,1,4,10,30,875,38.33,20,1020
2002,1,4,11,30,893,31.51,21,1010
2002,1,4,12,30,881,25.87,22,1010
2002,1,4,13,30,851,22.35,22,1010
2002,1,4,14,30,777,21.07,21,1010
2002,1,4,15,30,618,26.19,18,1010
2002,1,4,16,30,202,33.18,15,1020
2002,1,4,17,30,0,33.09,14,1020
2002,1,4,18,30,0,34.61,13,1020
2002,1,4,19,30,0,36.62,12,1020
2002,1,4,20,30,0,36.42,12,1020
2002,1,4,21,30,0,36.21,11,1020
2002,1,4,22,30,0,38.47,11,1020
2002,1,4,23,30,0,38.32,10,1020
2002,1,5,0,30,0,41.6,10,1020
2002,1,5,1,30,0,46.8,9,1020
2002,1,5,2,30,0,49.06,8,1020
2002,1,5,3,30,0,50.68,8,1020
2002,1,5,4,30,0,51.93,9,1020
2002,1,5,5,30,0,52.42,9,1020
2002,1,5,6,30,0,52.74,9,1020
2002,1,5,7,30,523,47.65,11,1020
2002,1,5,8,30,781,38.25,14,1020
2002,1,5,9,30,886,29.33,16,1020
2002,1,5,10,30,935,22.64,18,1020
2002,1,5,11,30,528,19.66,19,1020
2002,1,5,12,30,623,17.93,20,1020
2002,1,5,13,30,924,17.66,20,1020
2002,1,5,14,30,861,18.74,19,1020
2002,1,5,15,30,719,29.47,16,1020
2002,1,5,16,30,326,37.82,13,1020
2002,1,5,17,30,0,33.49,12,1020
2002,1,5,18,30,0,34.36,11,1020
2002,1,5,19,30,0,35.97,10,1020
2002,1,5,20,30,0,41.37,9,1020
2002,1,5,21,30,0,43.27,8,1020
2002,1,5,22,30,0,43.29,8,1020
2002,1,5,23,30,0,42.89,8,1020
2002,1,6,0,30,0,45.42,7,1020
2002,1,6,1,30,0,45.42,7,1020
2002,1,6,2,30,0,45.46,7,1020
2002,1,6,3,30,0,45.43,7,1020
2002,1,6,4,30,0,45.32,7,1020
2002,1,6,5,30,0,42.17,7,1020
2002,1,6,6,30,0,42.08,8,1020
2002,1,6,7,30,228,39.74,10,1020
2002,1,6,8,30,460,32.86,13,1020
2002,1,6,9,30,884,24.72,16,1020
2002,1,6,10,30,633,20.75,18,1020
2002,1,6,11,30,753,18.8,19,1020
2002,1,6,12,30,618,17.12,20,1020
2002,1,6,13,30,884,15.86,21,1020
2002,1,6,14,30,812,16.86,20,1020
2002,1,6,15,30,207,28.23,17,1020
2002,1,6,16,30,26,30.38,15,1020
2002,1,6,17,30,0,29.06,13,1020
2002,1,6,18,30,0,33.9,12,1020
2002,1,6,19,30,0,34.11,11,1020
2002,1,6,20,30,0,36.11,11,1020
2002,1,6,21,30,0,35.62,11,1020
2002,1,6,22,30,0,35.16,11,1020
2002,1,6,23,30,0,34.74,11,1020
2002,1,7,0,30,0,34.51,10,1020
2002,1,7,1,30,0,37.17,10,1020
2002,1,7,2,30,0,40.36,9,1020
2002,1,7,3,30,0,41.11,8,1020
2002,1,7,4,30,0,45.38,8,1020
2002,1,7,5,30,0,46.43,8,1020
2002,1,7,6,30,0,44.13,8,1020
2002,1,7,7,30,35,40.95,11,1020
2002,1,7,8,30,194,32.81,14,1020
2002,1,7,9,30,361,26.84,17,1020
2002,1,7,10,30,444,23.97,19,1020
2002,1,7,11,30,658,22.85,20,1020
2002,1,7,12,30,658,21.57,21,1020
2002,1,7,13,30,554,19.91,22,1020
2002,1,7,14,30,462,20.04,21,1020
2002,1,7,15,30,134,30.19,19,1010
2002,1,7,16,30,213,29.68,17,1010
2002,1,7,17,30,0,32.07,16,1010
2002,1,7,18,30,0,33.93,15,1010
2002,1,7,19,30,0,36.32,14,1010
2002,1,7,20,30,0,36.37,14,1010
2002,1,7,21,30,0,35.87,14,1010
2002,1,7,22,30,0,35.38,14,1010
2002,1,7,23,30,0,34.96,14,1010
2002,1,8,0,30,0,34.66,14,1010
2002,1,8,1,30,0,34.52,13,1010
2002,1,8,2,30,0,37.09,13,1010
2002,1,8,3,30,0,39.87,12,1010
2002,1,8,4,30,0,40.24,11,1010
2002,1,8,5,30,0,43.39,11,1010
2002,1,8,6,30,0,43.65,11,1010
2002,1,8,7,30,493,38.15,14,1010
2002,1,8,8,30,745,32.54,17,1010
2002,1,8,9,30,854,26,20,1010
2002,1,8,10,30,902,23.26,22,1010
2002,1,8,11,30,922,20.66,24,1010
2002,1,8,12,30,918,19.34,25,1010
2002,1,8,13,30,880,17.88,26,1010
2002,1,8,14,30,808,18.96,24,1010
2002,1,8,15,30,656,30.19,21,1010
2002,1,8,16,30,266,30.78,20,1010
2002,1,8,17,30,0,27.88,20,1010
2002,1,8,18,30,0,29.27,19,1010
2002,1,8,19,30,0,28.87,18,1010
2002,1,8,20,30,0,28.6,18,1010
2002,1,8,21,30,0,30.52,18,1010
2002,1,8,22,30,0,33,17,1010
2002,1,8,23,30,0,38.8,15,1010
2002,1,9,0,30,0,46.99,13,1010
2002,1,9,1,30,0,50.89,12,1010
2002,1,9,2,30,0,58.34,12,1010
2002,1,9,3,30,0,59.86,11,1010
2002,1,9,4,30,0,63.23,11,1010
2002,1,9,5,30,0,61.38,11,1010
2002,1,9,6,30,0,58.87,11,1010
2002,1,9,7,30,210,49.96,13,1010
2002,1,9,8,30,116,44.52,15,1010
2002,1,9,9,30,109,38.54,17,1010
2002,1,9,10,30,8,34.95,19,1010
2002,1,9,11,30,641,30.41,21,1010
2002,1,9,12,30,459,26.81,22,1010
2002,1,9,13,30,448,24.44,23,1010
2002,1,9,14,30,339,26.36,22,1010
2002,1,9,15,30,631,37.25,18,1010
2002,1,9,16,30,0,48.06,15,1010
2002,1,9,17,30,0,52.51,15,1010
2002,1,9,18,30,0,58.55,14,1010
2002,1,9,19,30,0,64.78,13,1010
2002,1,9,20,30,0,72.32,11,1010
